"species","GO_ID","Term","Ont","GeneRatio","FoldEnrichment","pvalue","p.adjust","Count"
"Spla","GO:0050855","regulation of B cell receptor signaling pathway","BP","3/123",25.519512195122,0.000179125267822654,0.00478195230779478,3
"Spla","GO:0050926","regulation of positive chemotaxis","BP","3/123",25.519512195122,0.000179125267822654,0.00478195230779478,3
"Spla","GO:0050927","positive regulation of positive chemotaxis","BP","3/123",25.519512195122,0.000179125267822654,0.00478195230779478,3
"Spla","GO:0019901","protein kinase binding","MF","15/123",2.91985265390411,0.000180176862992915,0.00478195230779478,15
"Spla","GO:0005544","calcium-dependent phospholipid binding","MF","4/123",13.610406504065,0.000190025179043373,0.00478195230779478,4
"Spla","GO:0042169","SH2 domain binding","MF","4/123",13.610406504065,0.000190025179043373,0.00478195230779478,4
"Spla","GO:0044130",NA,NA,"4/123",13.610406504065,0.000190025179043373,0.00478195230779478,4
"Spla","GO:0044146",NA,NA,"4/123",13.610406504065,0.000190025179043373,0.00478195230779478,4
"Spla","GO:0050854","regulation of antigen receptor-mediated signaling pathway","BP","4/123",13.610406504065,0.000190025179043373,0.00478195230779478,4
"Spla","GO:0030155","regulation of cell adhesion","BP","11/123",3.66947234178224,0.000201225460117577,0.00500876417031795,11
"Spla","GO:0015629","actin cytoskeleton","CC","10/123",3.95651351862356,0.000216169546180658,0.0053086132759329,10
"Spla","GO:0005767","secondary lysosome","CC","4/123",13.0869293308318,0.000222544486676663,0.0053086132759329,4
"Spla","GO:0044126",NA,NA,"4/123",13.0869293308318,0.000222544486676663,0.0053086132759329,4
"Spla","GO:0044144",NA,NA,"4/123",13.0869293308318,0.000222544486676663,0.0053086132759329,4
"Spla","GO:0045785","positive regulation of cell adhesion","BP","8/123",4.86085946573751,0.000237575999328353,0.00560875297383431,8
"Spla","GO:0050996","positive regulation of lipid catabolic process","BP","3/123",23.19955654102,0.00024418556138819,0.00570596873039751,3
"Spla","GO:0010821","regulation of mitochondrion organization","BP","7/123",5.56500265937239,0.000257894438003144,0.00592849636445075,7
"Spla","GO:0070498","interleukin-1-mediated signaling pathway","BP","4/123",12.6022282445047,0.000258886304124487,0.00592849636445075,4
"Spla","GO:0030589","pseudocleavage involved in syncytial blastoderm formation","BP","3/123",21.2662601626016,0.000322790745768748,0.00731872086941022,3
"Spla","GO:0035255","ionotropic glutamate receptor binding","MF","4/123",11.7331090552285,0.000344056955931787,0.00772441597140974,4
"Spla","GO:0006469","negative regulation of protein kinase activity","BP","8/123",4.53680216802168,0.000379453594732921,0.00841957445260651,8
"Spla","GO:0000422","autophagy of mitochondrion","BP","4/123",11.3420054200542,0.000393403697130523,0.00841957445260651,4
"Spla","GO:0002931","response to ischemia","BP","4/123",11.3420054200542,0.000393403697130523,0.00841957445260651,4
"Spla","GO:0031593","polyubiquitin modification-dependent protein binding","MF","4/123",11.3420054200542,0.000393403697130523,0.00841957445260651,4
"Spla","GO:0061726",NA,NA,"4/123",11.3420054200542,0.000393403697130523,0.00841957445260651,4
"Spla","GO:0090527",NA,NA,"3/123",19.6303939962477,0.000416033898749577,0.00882145951978269,3
"Spla","GO:0051015","actin filament binding","MF","6/123",6.14928004701734,0.000421252612893986,0.00885016957364429,6
"Spla","GO:0048167","regulation of synaptic plasticity","BP","7/123",5.08936140643458,0.000445313784564634,0.0092706233332092,7
"Spla","GO:0019900","kinase binding","MF","15/123",2.64725230239854,0.000513530151416959,0.0104536496439576,15
"Spla","GO:0043409","negative regulation of MAPK cascade","BP","7/123",4.96212737127371,0.000518889298946711,0.0104536496439576,7
"Spla","GO:0090316","positive regulation of intracellular protein transport","BP","7/123",4.96212737127371,0.000518889298946711,0.0104536496439576,7
"Spla","GO:0034351","negative regulation of glial cell apoptotic process","BP","3/123",18.2282229965157,0.000524964938452018,0.0104536496439576,3
"Spla","GO:1901838","positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP","3/123",18.2282229965157,0.000524964938452018,0.0104536496439576,3
"Spla","GO:0051495","positive regulation of cytoskeleton organization","BP","8/123",4.30709066584337,0.0005371225630825,0.0106035402539562,8
"Spla","GO:0003333","amino acid transmembrane transport","BP","4/123",10.3109140182311,0.000571653198346604,0.0111845267230296,4
"Spla","GO:0043130","ubiquitin binding","MF","5/123",7.3331931595178,0.000576320590968336,0.0111845267230296,5
"Spla","GO:0006865","amino acid transport","BP","5/123",7.20890175003445,0.000623827526763798,0.0120047482041101,5
"Spla","GO:0031663","lipopolysaccharide-mediated signaling pathway","BP","3/123",17.0130081300813,0.000650591648561527,0.0123128502083132,3
"Spla","GO:0035640","exploration behavior","BP","3/123",17.0130081300813,0.000650591648561527,0.0123128502083132,3
"Spla","GO:0033673","negative regulation of kinase activity","BP","8/123",4.17497132026535,0.000660094633674178,0.0123903009107694,8
"Spla","GO:0010720","positive regulation of cell development","BP","12/123",2.9760364075944,0.000696753813399428,0.0129720831925585,12
"Spla","GO:0016234","inclusion body","CC","5/123",6.97254431560709,0.000727582032772161,0.013436797218131,5
"Spla","GO:0010543","regulation of platelet activation","BP","3/123",15.9496951219512,0.000793880683858418,0.0143148564254786,3
"Spla","GO:0034350","regulation of glial cell apoptotic process","BP","3/123",15.9496951219512,0.000793880683858418,0.0143148564254786,3
"Spla","GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","BP","3/123",15.9496951219512,0.000793880683858418,0.0143148564254786,3
"Spla","GO:0050769","positive regulation of neurogenesis","BP","11/123",3.08816979258902,0.000864949717859646,0.0153166246577232,11
"Spla","GO:0004888","transmembrane signaling receptor activity","MF","6/123",5.37252888318357,0.000865186116816671,0.0153166246577232,6
"Spla","GO:0007015","actin filament organization","BP","8/123",4.00306073648972,0.000869502709827083,0.0153166246577232,8
"Spla","GO:0061912",NA,NA,"4/123",9.19622061085476,0.00088982891951914,0.0155550246236552,4
"Spla","GO:0038127","ERBB signaling pathway","BP","5/123",6.54346466541589,0.000973165514018861,0.0168829471750242,5
"Spla","GO:0017158","regulation of calcium ion-dependent exocytosis","BP","4/123",8.95421480530595,0.000985557331953078,0.0168855398986508,4
"Spla","GO:0051962","positive regulation of nervous system development","BP","12/123",2.85932909749266,0.000988062160008387,0.0168855398986508,12
"Spla","GO:1902903","regulation of supramolecular fiber organization","BP","9/123",3.52804316061594,0.00102452345478508,0.0173789534182062,9
"Spla","GO:0032182","ubiquitin-like protein binding","MF","5/123",6.44432126139443,0.00104315651389719,0.0174367037724421,5
"Spla","GO:0042306","regulation of protein import into nucleus","BP","5/123",6.44432126139443,0.00104315651389719,0.0174367037724421,5
"Spla","GO:0000407","phagophore assembly site","CC","4/123",8.72461955388785,0.00108830464734788,0.0180041965517995,4
"Spla","GO:0010976","positive regulation of neuron projection development","BP","9/123",3.49582358837287,0.00109283114441054,0.0180041965517995,9
"Spla","GO:0046824","positive regulation of nucleocytoplasmic transport","BP","5/123",6.34813736197063,0.00111681745547069,0.0182679426644848,5
"Spla","GO:0008362","chitin-based embryonic cuticle biosynthetic process","BP","3/123",14.1775067750677,0.00113711260258755,0.0183379426755317,3
"Spla","GO:1901836","regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP","3/123",14.1775067750677,0.00113711260258755,0.0183379426755317,3
"Spla","GO:1904589","regulation of protein import","BP","5/123",6.25478240076518,0.00119426610719875,0.0191249607376582,5
"Spla","GO:0030588","pseudocleavage","BP","3/123",13.4313222079589,0.00133879193173135,0.0212905105810055,3
"Spla","GO:0008360","regulation of cell shape","BP","7/123",4.19334707431581,0.00140239508041466,0.0221481705803419,7
"Spla","GO:0030336","negative regulation of cell migration","BP","6/123",4.86085946573751,0.0014567445375202,0.0228489382939812,6
"Spla","GO:0070555","response to interleukin-1","BP","5/123",5.90729448961156,0.00154432509084787,0.0239946123007763,5
"Spla","GO:0051348","negative regulation of transferase activity","BP","8/123",3.65871142582394,0.00155074350240825,0.0239946123007763,8
"Spla","GO:2000249",NA,NA,"3/123",12.759756097561,0.00156160835595201,0.0240005579538934,3
"Spla","GO:0019904","protein domain specific binding","MF","13/123",2.57173378710531,0.00159826249408869,0.0244001407430874,13
"Spla","GO:0051291","protein heterooligomerization","BP","5/123",5.82637264728812,0.00164250989644793,0.0249095871712964,5
"Spla","GO:2000146","negative regulation of cell motility","BP","6/123",4.72583559168925,0.00168344260166666,0.0253623918277411,6
"Spla","GO:0050870","positive regulation of T cell activation","BP","4/123",7.73318551367332,0.00171685083170815,0.0253650864813656,4
"Spla","GO:1903039","positive regulation of leukocyte cell-cell adhesion","BP","4/123",7.73318551367332,0.00171685083170815,0.0253650864813656,4
"Spla","GO:1903533","regulation of protein targeting","BP","4/123",7.73318551367332,0.00171685083170815,0.0253650864813656,4
"Spla","GO:1900180","regulation of protein localization to nucleus","BP","6/123",4.68247930185724,0.00176466935913857,0.0259044412335085,6
"Spla","GO:0009303","rRNA transcription","BP","3/123",12.1521486643438,0.00180633730221372,0.026180458367528,3
"Spla","GO:0017101","aminoacyl-tRNA synthetase multienzyme complex","CC","3/123",12.1521486643438,0.00180633730221372,0.026180458367528,3
"Spla","GO:0010631","epithelial cell migration","BP","7/123",3.99634419162984,0.00184927325548326,0.0266341871387211,7
"Spla","GO:0090132","epithelium migration","BP","7/123",3.96970189701897,0.00192122246964587,0.0274974965968064,7
"Spla","GO:0061024","membrane organization","BP","14/123",2.41075013989006,0.00194099249678868,0.0276079056996651,14
"Spla","GO:0022604","regulation of cell morphogenesis","BP","12/123",2.62411436453696,0.00204879753130343,0.0287807020479272,12
"Spla","GO:0051222","positive regulation of protein transport","BP","9/123",3.18993902439024,0.00205890982262253,0.0287807020479272,9
"Spla","GO:0030193","regulation of blood coagulation","BP","3/123",11.59977827051,0.00207371870651004,0.0287807020479272,3
"Spla","GO:1900046","regulation of hemostasis","BP","3/123",11.59977827051,0.00207371870651004,0.0287807020479272,3
"Spla","GO:0046822","regulation of nucleocytoplasmic transport","BP","6/123",4.51672782214548,0.00211969467224139,0.0292415710809204,6
"Spla","GO:0050804","modulation of chemical synaptic transmission","BP","9/123",3.16357589195727,0.00217838475597405,0.0296934588760749,9
"Spla","GO:0099177","regulation of trans-synaptic signaling","BP","9/123",3.16357589195727,0.00217838475597405,0.0296934588760749,9
"Spla","GO:0090130","tissue migration","BP","7/123",3.86659275683666,0.00223100386700597,0.0302307624582466,7
"Spla","GO:0034097","response to cytokine","BP","12/123",2.59081342082456,0.00227797827884024,0.0306857074032008,12
"Spla","GO:0005911","cell-cell junction","CC","8/123",3.43697133941036,0.00229725233650223,0.0307643733952638,8
"Spla","GO:0022407","regulation of cell-cell adhesion","BP","6/123",4.43817603393425,0.00231624814480242,0.0308384200674276,6
"Spla","GO:2001023","regulation of response to drug","BP","5/123",5.38386333230421,0.00233070155601963,0.0308514830247685,5
"Spla","GO:0002833","positive regulation of response to biotic stimulus","BP","3/123",11.0954400848356,0.00236445789060318,0.0309065256129349,3
"Spla","GO:0050818","regulation of coagulation","BP","3/123",11.0954400848356,0.00236445789060318,0.0309065256129349,3
"Spla","GO:0030029","actin filament-based process","BP","12/123",2.57772850455777,0.00237534869339587,0.0309065256129349,12
"Spla","GO:0071345","cellular response to cytokine stimulus","BP","11/123",2.69658630303882,0.00254969259980831,0.0329534453917611,11
"Spla","GO:0000932","P-body","CC","4/123",6.94408495105359,0.00256144684704519,0.0329534453917611,4
"Spla","GO:0030036","actin cytoskeleton organization","BP","11/123",2.6811330864025,0.00266553841179758,0.0341010221397568,11
"Spla","GO:0033157","regulation of intracellular protein transport","BP","8/123",3.35231687292242,0.00268122308057125,0.0341111158583787,8
"Spla","GO:0090066","regulation of anatomical structure size","BP","13/123",2.39879724176851,0.00294285876740204,0.037232854018512,13
"Spla","GO:0051271",NA,NA,"6/123",4.21810118927636,0.00298885643625656,0.0376070397748765,6
"Spla","GO:0120032","regulation of plasma membrane bounded cell projection assembly","BP","7/123",3.65309990523218,0.00306878242330513,0.0384017035484631,7
"Spla","GO:0045597","positive regulation of cell differentiation","BP","13/123",2.38328777684329,0.00311155285606996,0.0387253045673925,13
"Spla","GO:0016079","synaptic vesicle exocytosis","BP","4/123",6.54346466541589,0.00318564086990223,0.0392210623229899,4
"Spla","GO:0050851","antigen receptor-mediated signaling pathway","BP","4/123",6.54346466541589,0.00318564086990223,0.0392210623229899,4
"Spla","GO:0010632","regulation of epithelial cell migration","BP","5/123",5.00382592061215,0.00320820471991286,0.0392876406877029,5
"Spla","GO:0031253","cell projection membrane","CC","7/123",3.60881990638088,0.003283941822699,0.0397895596506916,7
"Spla","GO:0060491","regulation of cell projection assembly","BP","7/123",3.60881990638088,0.003283941822699,0.0397895596506916,7
"Spla","GO:0015179","L-amino acid transmembrane transporter activity","MF","3/123",9.81519699812383,0.00338337405920109,0.0407135071338191,3
"Spla","GO:0009612","response to mechanical stimulus","BP","7/123",3.58708002742678,0.00339575539849757,0.0407135071338191,7
"Spla","GO:0032535","regulation of cellular component size","BP","11/123",2.59200954890435,0.00345344453904767,0.0411895208042665,11
"Spla","GO:0030334","regulation of cell migration","BP","11/123",2.57772850455777,0.00360131633807258,0.0426382303567593,11
"Spla","GO:0045666","positive regulation of neuron differentiation","BP","9/123",2.93327726380712,0.00361214702585647,0.0426382303567593,9
"Spla","GO:0006836","neurotransmitter transport","BP","6/123",4.05071622144793,0.00365301216124961,0.0428994761500596,6
"Spla","GO:0016605","PML body","CC","4/123",6.18654841093865,0.00390634137991148,0.0456404171428433,4
