term	gene
GO:0045184	Tadh-TriadG51263
GO:0046907	Tadh-TriadG51263
GO:0051179	Tadh-TriadG51263
GO:0051234	Tadh-TriadG51263
GO:0051604	Tadh-TriadG51263
GO:0051641	Tadh-TriadG51263
GO:0051649	Tadh-TriadG51263
GO:0070013	Tadh-TriadG51263
GO:0070585	Tadh-TriadG51263
GO:0071705	Tadh-TriadG51263
GO:0071840	Tadh-TriadG51263
GO:0072594	Tadh-TriadG51263
GO:0072655	Tadh-TriadG51263
GO:0140096	Tadh-TriadG51263
GO:0001508	Tadh-TriadG18273
GO:0003008	Tadh-TriadG18273
GO:0003674	Tadh-TriadG18273
GO:0005215	Tadh-TriadG18273
GO:0005216	Tadh-TriadG18273
GO:0005261	Tadh-TriadG18273
GO:0005272	Tadh-TriadG18273
GO:0005575	Tadh-TriadG18273
GO:0005886	Tadh-TriadG18273
GO:0006810	Tadh-TriadG18273
GO:0006811	Tadh-TriadG18273
GO:0006812	Tadh-TriadG18273
GO:0006813	Tadh-TriadG18273
GO:0006814	Tadh-TriadG18273
GO:0006816	Tadh-TriadG18273
GO:0007600	Tadh-TriadG18273
GO:0007610	Tadh-TriadG18273
GO:0007622	Tadh-TriadG18273
GO:0007623	Tadh-TriadG18273
GO:0007626	Tadh-TriadG18273
GO:0008150	Tadh-TriadG18273
GO:0008324	Tadh-TriadG18273
GO:0008344	Tadh-TriadG18273
GO:0009987	Tadh-TriadG18273
GO:0010646	Tadh-TriadG18273
GO:0010647	Tadh-TriadG18273
GO:0015075	Tadh-TriadG18273
GO:0015081	Tadh-TriadG18273
GO:0015267	Tadh-TriadG18273
GO:0016020	Tadh-TriadG18273
GO:0022803	Tadh-TriadG18273
GO:0022840	Tadh-TriadG18273
GO:0022842	Tadh-TriadG18273
GO:0022857	Tadh-TriadG18273
GO:0023051	Tadh-TriadG18273
GO:0023056	Tadh-TriadG18273
GO:0030001	Tadh-TriadG18273
GO:0030424	Tadh-TriadG18273
GO:0030534	Tadh-TriadG18273
GO:0032222	Tadh-TriadG18273
GO:0032224	Tadh-TriadG18273
GO:0032228	Tadh-TriadG18273
GO:0032230	Tadh-TriadG18273
GO:0032501	Tadh-TriadG18273
GO:0034220	Tadh-TriadG18273
GO:0035176	Tadh-TriadG18273
GO:0035725	Tadh-TriadG18273
GO:0036477	Tadh-TriadG18273
GO:0040012	Tadh-TriadG18273
GO:0040017	Tadh-TriadG18273
GO:0042221	Tadh-TriadG18273
GO:0042391	Tadh-TriadG18273
GO:0042752	Tadh-TriadG18273
GO:0042995	Tadh-TriadG18273
GO:0043005	Tadh-TriadG18273
GO:0043025	Tadh-TriadG18273
GO:0043679	Tadh-TriadG18273
GO:0044297	Tadh-TriadG18273
GO:0044306	Tadh-TriadG18273
GO:0045202	Tadh-TriadG18273
GO:0045475	Tadh-TriadG18273
GO:0046873	Tadh-TriadG18273
GO:0048511	Tadh-TriadG18273
GO:0048512	Tadh-TriadG18273
GO:0048518	Tadh-TriadG18273
GO:0048522	Tadh-TriadG18273
GO:0050789	Tadh-TriadG18273
GO:0050794	Tadh-TriadG18273
GO:0050804	Tadh-TriadG18273
GO:0050806	Tadh-TriadG18273
GO:0050877	Tadh-TriadG18273
GO:0050896	Tadh-TriadG18273
GO:0050954	Tadh-TriadG18273
GO:0050975	Tadh-TriadG18273
GO:0051179	Tadh-TriadG18273
GO:0051234	Tadh-TriadG18273
GO:0051703	Tadh-TriadG18273
GO:0051899	Tadh-TriadG18273
GO:0055085	Tadh-TriadG18273
GO:0060075	Tadh-TriadG18273
GO:0065007	Tadh-TriadG18273
GO:0065008	Tadh-TriadG18273
GO:0070588	Tadh-TriadG18273
GO:0071805	Tadh-TriadG18273
GO:0071944	Tadh-TriadG18273
GO:0072347	Tadh-TriadG18273
GO:0086010	Tadh-TriadG18273
GO:0098655	Tadh-TriadG18273
GO:0098793	Tadh-TriadG18273
GO:0099177	Tadh-TriadG18273
GO:0120025	Tadh-TriadG18273
GO:0150034	Tadh-TriadG18273
GO:0001525	Tadh-TriadG51268
GO:0001568	Tadh-TriadG51268
GO:0001944	Tadh-TriadG51268
GO:0003674	Tadh-TriadG51268
GO:0003824	Tadh-TriadG51268
GO:0004145	Tadh-TriadG51268
GO:0005488	Tadh-TriadG51268
GO:0005515	Tadh-TriadG51268
GO:0005575	Tadh-TriadG51268
GO:0005622	Tadh-TriadG51268
GO:0005737	Tadh-TriadG51268
GO:0005829	Tadh-TriadG51268
GO:0006576	Tadh-TriadG51268
GO:0006595	Tadh-TriadG51268
GO:0006596	Tadh-TriadG51268
GO:0006598	Tadh-TriadG51268
GO:0007275	Tadh-TriadG51268
GO:0008080	Tadh-TriadG51268
GO:0008150	Tadh-TriadG51268
GO:0008152	Tadh-TriadG51268
GO:0008215	Tadh-TriadG51268
GO:0008216	Tadh-TriadG51268
GO:0009056	Tadh-TriadG51268
GO:0009058	Tadh-TriadG51268
GO:0009308	Tadh-TriadG51268
GO:0009309	Tadh-TriadG51268
GO:0009310	Tadh-TriadG51268
GO:0009653	Tadh-TriadG51268
GO:0009987	Tadh-TriadG51268
GO:0016407	Tadh-TriadG51268
GO:0016410	Tadh-TriadG51268
GO:0016740	Tadh-TriadG51268
GO:0016746	Tadh-TriadG51268
GO:0016747	Tadh-TriadG51268
GO:0019808	Tadh-TriadG51268
GO:0019809	Tadh-TriadG51268
GO:0032501	Tadh-TriadG51268
GO:0032502	Tadh-TriadG51268
GO:0032917	Tadh-TriadG51268
GO:0032918	Tadh-TriadG51268
GO:0035239	Tadh-TriadG51268
GO:0035295	Tadh-TriadG51268
GO:0042127	Tadh-TriadG51268
GO:0042401	Tadh-TriadG51268
GO:0042402	Tadh-TriadG51268
GO:0042802	Tadh-TriadG51268
GO:0043167	Tadh-TriadG51268
GO:0043169	Tadh-TriadG51268
GO:0046208	Tadh-TriadG51268
GO:0048514	Tadh-TriadG51268
GO:0048646	Tadh-TriadG51268
GO:0048731	Tadh-TriadG51268
GO:0048856	Tadh-TriadG51268
GO:0050789	Tadh-TriadG51268
GO:0050794	Tadh-TriadG51268
GO:0065007	Tadh-TriadG51268
GO:0070405	Tadh-TriadG51268
GO:0072359	Tadh-TriadG51268
GO:0000082	Tadh-TriadG49541
GO:0000166	Tadh-TriadG49541
GO:0000228	Tadh-TriadG49541
GO:0000278	Tadh-TriadG49541
GO:0000428	Tadh-TriadG49541
GO:0000723	Tadh-TriadG49541
GO:0000731	Tadh-TriadG49541
GO:0003674	Tadh-TriadG49541
GO:0003676	Tadh-TriadG49541
GO:0003677	Tadh-TriadG49541
GO:0003682	Tadh-TriadG49541
GO:0003690	Tadh-TriadG49541
GO:0003824	Tadh-TriadG49541
GO:0003887	Tadh-TriadG49541
GO:0005488	Tadh-TriadG49541
GO:0005515	Tadh-TriadG49541
GO:0005575	Tadh-TriadG49541
GO:0005622	Tadh-TriadG49541
GO:0005634	Tadh-TriadG49541
GO:0005635	Tadh-TriadG49541
GO:0005654	Tadh-TriadG49541
GO:0005657	Tadh-TriadG49541
GO:0005658	Tadh-TriadG49541
GO:0005694	Tadh-TriadG49541
GO:0005730	Tadh-TriadG49541
GO:0005737	Tadh-TriadG49541
GO:0005829	Tadh-TriadG49541
GO:0006139	Tadh-TriadG49541
GO:0006259	Tadh-TriadG49541
GO:0006260	Tadh-TriadG49541
GO:0006261	Tadh-TriadG49541
GO:0006269	Tadh-TriadG49541
GO:0006270	Tadh-TriadG49541
GO:0006271	Tadh-TriadG49541
GO:0006272	Tadh-TriadG49541
GO:0006273	Tadh-TriadG49541
GO:0006281	Tadh-TriadG49541
GO:0006302	Tadh-TriadG49541
GO:0006303	Tadh-TriadG49541
GO:0006355	Tadh-TriadG49541
GO:0006950	Tadh-TriadG49541
GO:0006974	Tadh-TriadG49541
GO:0006996	Tadh-TriadG49541
GO:0007049	Tadh-TriadG49541
GO:0008150	Tadh-TriadG49541
GO:0008152	Tadh-TriadG49541
GO:0008283	Tadh-TriadG49541
GO:0009058	Tadh-TriadG49541
GO:0009059	Tadh-TriadG49541
GO:0009889	Tadh-TriadG49541
GO:0009987	Tadh-TriadG49541
GO:0010468	Tadh-TriadG49541
GO:0010556	Tadh-TriadG49541
GO:0012505	Tadh-TriadG49541
GO:0016043	Tadh-TriadG49541
GO:0016070	Tadh-TriadG49541
GO:0016363	Tadh-TriadG49541
GO:0016740	Tadh-TriadG49541
GO:0016772	Tadh-TriadG49541
GO:0016779	Tadh-TriadG49541
GO:0017076	Tadh-TriadG49541
GO:0019103	Tadh-TriadG49541
GO:0019219	Tadh-TriadG49541
GO:0019222	Tadh-TriadG49541
GO:0019725	Tadh-TriadG49541
GO:0019899	Tadh-TriadG49541
GO:0019900	Tadh-TriadG49541
GO:0019901	Tadh-TriadG49541
GO:0022402	Tadh-TriadG49541
GO:0022616	Tadh-TriadG49541
GO:0030880	Tadh-TriadG49541
GO:0030894	Tadh-TriadG49541
GO:0031967	Tadh-TriadG49541
GO:0031974	Tadh-TriadG49541
