CellName,UMAP_1,UMAP_2
967-0-6,11.900138,-5.825981
968-0-6,-3.917183,-2.057457
972-0-6,16.764664,0.025867004
973-0-6,7.8682833,-3.0057175
974-0-6,9.1301565,-2.7576394
978-0-6,7.584831,-0.5623909
979-0-6,16.399578,6.395022
980-0-6,8.382449,-5.0687165
984-0-6,11.902106,-4.80516
985-0-6,3.6449807,-0.037783675
986-0-6,9.21632,3.2936883
990-0-6,8.353073,-1.1873182
991-0-6,2.7519128,-1.8971611
996-0-6,9.025842,-5.2929683
997-0-6,11.574869,-5.588094
998-0-6,8.642713,-3.7488062
1002-0-6,8.5657,-2.7082765
1003-0-6,9.98162,-4.0178456
1008-0-6,8.33071,-1.729197
1009-0-6,9.532089,-4.537931
1010-0-6,3.2919574,1.8726038
1014-0-6,18.861797,5.4916754
1015-0-6,9.84635,-5.329572
1016-0-6,18.566296,1.2783397
1020-0-6,7.2609916,6.509556
1021-0-6,8.388009,-4.897343
1022-0-6,12.244543,-4.1865273
1026-0-6,10.320533,-4.765642
1027-0-6,11.563347,-5.6438365
1032-0-6,7.7247586,14.241527
1033-0-6,7.7750344,-4.052141
1038-0-6,7.0417113,5.0954337
1039-0-6,6.374093,-1.1275805
1044-0-6,9.853086,-5.063083
1045-0-6,8.764173,-3.189405
1046-0-6,9.364714,-4.5714526
1050-0-6,-2.6532426,2.5967155
1051-0-6,15.553014,1.957186
1056-0-6,11.000337,-4.9459496
1057-0-6,8.931147,-3.7042477
1058-0-6,9.518835,-3.2330992
1062-0-6,-3.0671473,2.7413352
1063-0-6,15.010545,3.8565726
1064-0-6,11.3758335,-5.444518
1068-0-6,2.3213313,-0.66235644
1069-0-6,10.0747385,-5.393658
1070-0-6,10.836907,-3.997327
1074-0-6,-3.3681207,2.9135544
1075-0-6,13.127493,-4.131436
1076-0-6,14.587153,11.604763
1080-0-6,-4.491715,4.0633574
1081-0-6,11.171825,-4.271308
1082-0-6,7.273102,3.3918679
1086-0-6,7.168093,6.450023
1088-0-6,6.3414373,5.242106
1092-0-6,9.087137,0.78679544
1093-0-6,3.318217,-1.0181509
1094-0-6,18.440475,1.288627
1098-0-6,9.664459,-4.8441086
1099-0-6,7.8086658,-1.7703276
1104-0-6,8.574891,14.6041155
1105-0-6,7.1639743,5.937084
1110-0-6,8.130019,-0.41242158
1111-0-6,14.451279,12.148955
1112-0-6,7.8403783,-3.8386297
1116-0-6,10.298161,-5.402319
1117-0-6,16.50397,0.7304527
1118-0-6,8.195752,0.06616909
1122-0-6,7.8048778,6.765755
1123-0-6,11.92934,-4.5576525
1128-0-6,16.489052,-1.3663055
1129-0-6,16.99826,2.5977497
1134-0-6,8.074361,-1.1364733
1135-0-6,15.946368,-2.7425797
1140-0-6,6.375518,2.06207
1141-0-6,5.754904,3.2014234
1142-0-6,9.48501,-5.149055
1146-0-6,-2.5730464,2.6075416
1147-0-6,10.468913,-4.401116
1148-0-6,7.076583,-1.9709615
1152-0-6,7.1030674,4.205561
1153-0-6,10.652495,1.1276882
1154-0-6,9.521396,-5.4670415
1158-0-6,11.779781,-4.271913
1159-0-6,10.215861,-5.01819
1160-0-6,13.290118,-0.44853398
1164-0-6,8.935796,-2.5195508
1165-0-6,9.537623,-4.344037
1170-0-6,10.987718,-3.8428845
1171-0-6,6.666133,8.529706
1172-0-6,10.150518,2.6259646
1176-0-6,5.5624547,6.9020276
1177-0-6,18.593678,4.2908535
1182-0-6,8.210528,-2.9764574
1183-0-6,8.767456,-4.940169
1188-0-6,6.920727,5.0382934
1189-0-6,8.397403,-4.2647505
1194-0-6,7.4865875,-0.009923018
1195-0-6,7.692133,-3.1130414
1200-0-6,6.9183903,4.044355
1201-0-6,12.296782,-4.452452
1202-0-6,-3.5411162,-1.7462454
1206-0-6,9.25093,-3.5864623
1207-0-6,10.181853,-4.3658113
1208-0-6,10.064676,-4.30893
1212-0-6,9.415981,-3.2657566
1213-0-6,8.186678,-3.394707
1218-0-6,7.5404234,-0.86885464
1219-0-6,19.129389,2.335265
1224-0-6,14.476438,12.133618
1225-0-6,3.7110598,2.3969395
1226-0-6,5.989408,0.46244296
1230-0-6,7.4455857,5.629735
1231-0-6,7.416072,0.11655978
1232-0-6,12.373608,-3.6902382
1236-0-6,7.708989,-1.1883588
1237-0-6,15.798131,-1.5822212
1238-0-6,8.457692,-4.074646
1242-0-6,7.653999,-0.81547415
1243-0-6,8.769592,-4.0880995
1248-0-6,6.725602,8.26442
1249-0-6,10.887075,-4.7721553
1250-0-6,11.944091,1.2964742
1254-0-6,-4.2714677,3.1069055
1255-0-6,7.8893,-1.5250034
1260-0-6,12.134944,-4.2332854
1261-0-6,9.724649,-5.351715
1266-0-6,2.0860438,2.0524359
1267-0-6,9.907863,-5.958617
1268-0-6,16.741331,-1.9540464
1272-0-6,7.7431936,-1.828001
1273-0-6,9.99368,-3.304076
1274-0-6,-3.9771545,5.279226
1278-0-6,8.560818,-1.2521809
1279-0-6,9.486262,-4.4504223
1284-0-6,18.574688,6.7655144
1285-0-6,5.972325,3.0199647
1290-0-6,8.08027,-0.29131562
1291-0-6,10.499665,-4.844416
1292-0-6,7.850005,-2.584473
1296-0-6,9.378544,-4.585168
1297-0-6,8.73633,-4.048277
1302-0-6,8.739397,-0.26108125
1303-0-6,10.338877,-3.771131
1304-0-6,8.304014,-2.995453
1308-0-6,12.60645,-3.861099
1309-0-6,11.95817,-5.3087807
1314-0-6,11.679409,-5.101145
1315-0-6,7.2019477,6.195753
1316-0-6,9.259048,-4.267773
1320-0-6,-3.5744808,4.799478
1321-0-6,10.924703,-4.6498218
1326-0-6,16.276567,3.027353
1327-0-6,9.552199,-4.7843475
1332-0-6,8.640447,14.639251
1333-0-6,18.07499,1.7079284
1338-0-6,18.175209,3.7123954
1339-0-6,14.795352,12.211942
1344-0-6,7.8871017,-1.358552
1345-0-6,5.6116924,5.4499435
1350-0-6,8.082366,-3.1780484
1351-0-6,9.051683,-5.415086
1356-0-6,9.326831,1.0713373
1357-0-6,10.141237,-5.397247
1362-0-6,-3.1307452,5.0103555
1363-0-6,9.914783,-4.4955325
1368-0-6,8.403122,-1.6715825
1369-0-6,2.709128,-1.8707315
1374-0-6,7.735701,-0.21673343
1375-0-6,12.551373,-4.154787
