CellName,broad_cell_type,CellTypes
2749-14-6,Neural Anterior,Dare_Neural Anterior
2750-14-6,Neural Posterior,Dare_Neural Posterior
2751-14-6,Neural Posterior,Dare_Neural Posterior
2752-14-6,Neural Posterior,Dare_Neural Posterior
2760-14-6,Mesoderm,Dare_Mesoderm
2761-14-6,Neural Anterior,Dare_Neural Anterior
2762-14-6,Neural Anterior,Dare_Neural Anterior
2763-14-6,Neural Posterior,Dare_Neural Posterior
2764-14-6,Neural Posterior,Dare_Neural Posterior
2765-14-6,Neural Posterior,Dare_Neural Posterior
2766-14-6,Neural Posterior,Dare_Neural Posterior
2774-14-6,Mesoderm,Dare_Mesoderm
2775-14-6,Neural Anterior,Dare_Neural Anterior
2776-14-6,Neural Posterior,Dare_Neural Posterior
2777-14-6,Neural Posterior,Dare_Neural Posterior
2778-14-6,Neural Posterior,Dare_Neural Posterior
2779-14-6,Neural Posterior,Dare_Neural Posterior
2780-14-6,Neural Posterior,Dare_Neural Posterior
2788-14-6,Neural Posterior,Dare_Neural Posterior
2789-14-6,Neural Crest,Dare_Neural Crest
2790-14-6,Neural Posterior,Dare_Neural Posterior
2791-14-6,Mesoderm,Dare_Mesoderm
2792-14-6,Neural Posterior,Dare_Neural Posterior
2793-14-6,Neural Posterior,Dare_Neural Posterior
2794-14-6,Neural Anterior,Dare_Neural Anterior
2795-14-6,Neural Posterior,Dare_Neural Posterior
2802-14-6,Mesoderm,Dare_Mesoderm
2803-14-6,Mesoderm,Dare_Mesoderm
2804-14-6,Neural Posterior,Dare_Neural Posterior
2805-14-6,Neural Posterior,Dare_Neural Posterior
2806-14-6,Neural Mid,Dare_Neural Mid
2807-14-6,Mesoderm,Dare_Mesoderm
2808-14-6,Neural Posterior,Dare_Neural Posterior
2809-14-6,Neural Anterior,Dare_Neural Anterior
2816-14-6,Neural Anterior,Dare_Neural Anterior
2817-14-6,Neural Posterior,Dare_Neural Posterior
2818-14-6,Mesoderm,Dare_Mesoderm
2819-14-6,Neural Anterior,Dare_Neural Anterior
2820-14-6,Mesoderm,Dare_Mesoderm
2821-14-6,Neural Posterior,Dare_Neural Posterior
2822-14-6,Mesoderm,Dare_Mesoderm
2830-14-6,Neural Posterior,Dare_Neural Posterior
2831-14-6,Epidermal,Dare_Epidermal
2832-14-6,Neural Mid,Dare_Neural Mid
