"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.21873021863846e-16,0.185374538501981,0.202,0.111,1.17765901027034e-12,"TrH2_trans","OG0002094"
1.37273917767676e-16,0.331486311922338,0.296,0.182,1.32647786738905e-12,"TrH2_trans","OG0003185"
1.44609417821717e-16,0.217132260869724,0.455,0.309,1.39736080441125e-12,"TrH2_trans","OG0004913"
1.45555698999674e-16,0.291140990973068,0.084,0.033,1.40650471943385e-12,"TrH2_trans","OG0005871"
1.59472509082124e-16,0.0620447683059191,0.061,0.021,1.54098285526057e-12,"TrH2_trans","OG0005486"
1.59720882073293e-16,0.277715113552135,0.362,0.235,1.54338288347423e-12,"TrH2_trans","TrH2-TrispH2-004329"
1.77149802789339e-16,0.188709898205077,0.236,0.135,1.71179854435339e-12,"TrH2_trans","OG0006218"
1.8717938356793e-16,0.296223864538569,0.432,0.299,1.80871438341691e-12,"TrH2_trans","OG0002443"
1.92126910204614e-16,0.215937031948027,0.222,0.126,1.85652233330719e-12,"TrH2_trans","OG0004714"
1.93882963732104e-16,0.271666588506716,0.232,0.134,1.87349107854332e-12,"TrH2_trans","OG0005309"
2.25692692989603e-16,0.195202440487026,0.253,0.15,2.18086849235853e-12,"TrH2_trans","OG0004477"
2.327374604625e-16,0.373830175707447,0.176,0.094,2.24894208044914e-12,"TrH2_trans","OG0008403"
2.67185573428222e-16,0.287676910738256,0.228,0.133,2.58181419603691e-12,"TrH2_trans","OG0004910"
2.71822037204348e-16,0.109497854506228,0.143,0.071,2.62661634550561e-12,"TrH2_trans","OG0005357"
2.79760063613487e-16,0.126663596361009,0.083,0.033,2.70332149469712e-12,"TrH2_trans","OG0006805"
2.8756011432116e-16,0.350328685531549,0.27,0.165,2.77869338468537e-12,"TrH2_trans","OG0001783"
3.06922446478749e-16,0.324958951751629,0.104,0.046,2.96579160032415e-12,"TrH2_trans","OG0006764"
3.54359329643657e-16,0.216160970442407,0.843,0.722,3.42417420234666e-12,"TrH2_trans","OG0003890"
3.57133426145732e-16,0.259390375460397,0.665,0.54,3.45098029684621e-12,"TrH2_trans","OG0003027"
3.69819939844168e-16,0.373451084372936,0.314,0.199,3.5735700787142e-12,"TrH2_trans","OG0003321"
4.56575398475316e-16,0.234569872504469,0.798,0.68,4.41188807546698e-12,"TrH2_trans","OG0003773"
4.78563657320128e-16,0.12010210770579,0.124,0.059,4.6243606206844e-12,"TrH2_trans","OG0002939"
4.91834710303455e-16,0.229968658546341,0.792,0.678,4.75259880566228e-12,"TrH2_trans","OG0008344"
5.06561035250068e-16,0.307640956651588,0.112,0.052,4.89489928362141e-12,"TrH2_trans","OG0002706"
5.42941075768166e-16,0.203474686969367,0.149,0.076,5.24643961514779e-12,"TrH2_trans","OG0004463"
5.54241048783569e-16,0.182665812982864,0.636,0.508,5.35563125439563e-12,"TrH2_trans","OG0001697"
5.6016211438666e-16,0.396842893987205,0.214,0.122,5.41284651131829e-12,"TrH2_trans","OG0008428"
5.77531617123195e-16,0.698817985889049,0.127,0.063,5.58068801626143e-12,"TrH2_trans","OG0001341"
5.78360081954464e-16,0.588845540027111,0.267,0.165,5.58869347192599e-12,"TrH2_trans","OG0000585"
6.27506753849686e-16,0.32141169549854,0.634,0.479,6.06359776244952e-12,"TrH2_trans","OG0002312"
6.73228551752066e-16,1.01489791596518,0.118,0.057,6.50540749558022e-12,"TrH2_trans","OG0002451"
6.83010506885666e-16,0.450915594121949,0.074,0.028,6.59993052803619e-12,"TrH2_trans","OG0002728"
7.03230158460216e-16,0.05869903974336,0.314,0.204,6.79531302120106e-12,"TrH2_trans","OG0001924"
7.42641967337543e-16,0.796001416373689,0.131,0.065,7.17614933038268e-12,"TrH2_trans","OG0006652"
7.54283733260926e-16,0.744391957722132,0.096,0.041,7.28864371450033e-12,"TrH2_trans","OG0002560"
8.22291874050725e-16,0.593961160619206,0.139,0.069,7.94580637895215e-12,"TrH2_trans","OG0003195"
8.48183689937673e-16,0.120147355947053,0.327,0.209,8.19599899586773e-12,"TrH2_trans","OG0000309"
8.62705104087732e-16,0.281676965561183,0.302,0.192,8.33631942079976e-12,"TrH2_trans","OG0017035"
8.74661473621814e-16,0.304254674392228,0.439,0.301,8.45185381960759e-12,"TrH2_trans","OG0003540"
1.02638120187054e-15,0.154688697448252,0.246,0.145,9.91792155367502e-12,"TrH2_trans","OG0005493"
1.03541236449479e-15,0.230519010820859,0.872,0.759,1.00051896781131e-11,"TrH2_trans","OG0003941"
1.03737206465578e-15,0.452983221312699,0.113,0.054,1.00241262607688e-11,"TrH2_trans","OG0009076"
1.05780926641947e-15,0.183734135587159,0.256,0.153,1.02216109414114e-11,"TrH2_trans","OG0005588"
1.22362150458929e-15,0.225480786126446,0.186,0.102,1.18238545988463e-11,"TrH2_trans","OG0004027"
1.24512051398582e-15,0.280660098794508,0.123,0.059,1.2031599526645e-11,"TrH2_trans","OG0003443"
1.25044501612153e-15,0.196421158455628,0.845,0.721,1.20830501907824e-11,"TrH2_trans","OG0004413"
1.26371859992157e-15,1.21263699757209,0.094,0.042,1.22113128310422e-11,"TrH2_trans","OG0004523"
1.43019063165389e-15,0.414158782839357,0.171,0.092,1.38199320736715e-11,"TrH2_trans","OG0006793"
1.57980797791884e-15,0.113431686065962,0.224,0.129,1.52656844906297e-11,"TrH2_trans","OG0005164"
1.62017447225392e-15,0.194488348846131,0.074,0.029,1.56557459253896e-11,"TrH2_trans","TrH2-TrispH2-005347"
1.68334222615063e-15,0.488784616832296,0.086,0.036,1.62661359312935e-11,"TrH2_trans","OG0003344"
1.68389236585314e-15,0.577373594171309,0.069,0.026,1.62714519312389e-11,"TrH2_trans","OG0006577"
1.84101079299892e-15,0.573420950184067,0.092,0.04,1.77896872927485e-11,"TrH2_trans","OG0007817"
2.03886052693546e-15,0.230927439129393,0.245,0.147,1.97015092717773e-11,"TrH2_trans","OG0002388"
2.04625789008189e-15,0.304741509465742,0.376,0.257,1.97729899918613e-11,"TrH2_trans","OG0004922"
2.39781387272285e-15,0.0556176464139413,0.103,0.046,2.31700754521209e-11,"TrH2_trans","OG0006516"
2.44896957557903e-15,0.0410616016429695,0.264,0.16,2.36643930088202e-11,"TrH2_trans","OG0000975"
2.5261100860461e-15,0.13727021911561,0.139,0.07,2.44098017614635e-11,"TrH2_trans","OG0006704"
2.76078331663746e-15,0.468346974088268,0.109,0.05,2.66774491886678e-11,"TrH2_trans","OG0005446"
2.76103518250671e-15,0.185478095448638,0.288,0.182,2.66798829685623e-11,"TrH2_trans","OG0000891"
2.82117573659349e-15,0.103405143221715,0.241,0.144,2.72610211427029e-11,"TrH2_trans","OG0000636"
3.00636301880663e-15,0.229590677693608,0.223,0.13,2.90504858507284e-11,"TrH2_trans","OG0003036"
3.06382872250943e-15,0.74617223274828,0.136,0.071,2.96057769456086e-11,"TrH2_trans","OG0002442"
3.20732058809336e-15,0.0849103671841331,0.066,0.025,3.09923388427461e-11,"TrH2_trans","OG0003417"
3.21387942521793e-15,0.427172237551687,0.043,0.013,3.10557168858809e-11,"TrH2_trans","TrH2-orphan-1679"
3.21980600947313e-15,0.285165166911585,0.176,0.095,3.11129854695388e-11,"TrH2_trans","OG0005259"
3.26137174109826e-15,0.315198803307015,0.227,0.134,3.15146351342325e-11,"TrH2_trans","OG0010364"
3.31826901567547e-15,0.966463880248537,0.019,0.003,3.2064433498472e-11,"TrH2_trans","TrH2-orphan-1748"
3.60151025696439e-15,0.10386467501605,0.712,0.561,3.48013936130469e-11,"TrH2_trans","OG0000480"
3.65041375957368e-15,0.676907394183563,0.066,0.025,3.52739481587605e-11,"TrH2_trans","OG0006179"
3.74856133823433e-15,0.40929138106541,0.208,0.12,3.62223482113583e-11,"TrH2_trans","OG0009094"
3.79439074477029e-15,1.57120328793654,0.012,0.001,3.66651977667153e-11,"TrH2_trans","TrH2-orphan-682"
3.87540508442312e-15,0.229521286370743,0.389,0.266,3.74480393307806e-11,"TrH2_trans","OG0004681"
3.88088580198201e-15,1.37127033714907,0.075,0.03,3.75009995045522e-11,"TrH2_trans","OG0006308"
4.00656250154416e-15,0.18818944358728,0.923,0.818,3.87154134524212e-11,"TrH2_trans","OG0003829"
4.0304640605258e-15,0.128149164131808,0.224,0.13,3.89463742168608e-11,"TrH2_trans","OG0006669"
4.07395221709692e-15,1.14746656758208,0.054,0.019,3.93666002738075e-11,"TrH2_trans","OG0010251"
4.41211985285001e-15,0.350907513596735,0.123,0.06,4.26343141380897e-11,"TrH2_trans","OG0001945"
4.81307346555329e-15,0.894475498824824,0.145,0.078,4.65087288976414e-11,"TrH2_trans","OG0010527"
5.26466210655143e-15,0.266194183312893,0.174,0.095,5.08724299356065e-11,"TrH2_trans","OG0002898"
5.96250609040653e-15,0.33200422258973,0.05,0.016,5.76156963515983e-11,"TrH2_trans","OG0010440"
6.33859385398334e-15,0.521760523069517,0.06,0.022,6.1249832411041e-11,"TrH2_trans","OG0006679"
6.47868562073922e-15,0.465461057516485,0.32,0.213,6.26035391532031e-11,"TrH2_trans","OG0017083"
6.84345215415718e-15,0.181903878648144,0.45,0.33,6.61282781656208e-11,"TrH2_trans","OG0003083"
6.86867656677472e-15,0.574694927231342,0.198,0.115,6.63720216647441e-11,"TrH2_trans","OG0004213"
7.04058015052625e-15,1.18310818013828,0.065,0.025,6.80331259945352e-11,"TrH2_trans","TrH2-orphan-314"
7.41236046984893e-15,0.364714812116922,0.194,0.111,7.16256392201502e-11,"TrH2_trans","OG0003521"
8.35985988769703e-15,1.28333625168869,0.053,0.018,8.07813260948164e-11,"TrH2_trans","OG0002575"
8.79786928841866e-15,0.140889366399533,0.511,0.388,8.50138109339895e-11,"TrH2_trans","OG0000896"
1.00592302099557e-14,0.0836100513230216,0.062,0.023,9.72023415188019e-11,"TrH2_trans","OG0000521"
1.02680382832832e-14,0.748212594138691,0.044,0.014,9.92200539313657e-11,"TrH2_trans","OG0006599"
1.08062734065007e-14,1.09349704659747,0.05,0.016,1.04421019927016e-10,"TrH2_trans","OG0010379"
1.21755505251614e-14,0.183374873373821,0.786,0.655,1.17652344724634e-10,"TrH2_trans","OG0003494"
1.22734575560224e-14,0.108843445428929,0.083,0.035,1.18598420363844e-10,"TrH2_trans","OG0005954"
1.2589179844816e-14,0.347719898438461,0.22,0.129,1.21649244840457e-10,"TrH2_trans","OG0007804"
1.26374398275168e-14,0.2120780869249,0.253,0.154,1.22115581053295e-10,"TrH2_trans","OG0004294"
1.36891392205913e-14,0.189777473938655,0.105,0.049,1.32278152288574e-10,"TrH2_trans","OG0001773"
1.41942552438967e-14,0.312310270439877,0.122,0.06,1.37159088421773e-10,"TrH2_trans","OG0002693"
1.45155165662892e-14,0.37608688125781,0.192,0.109,1.40263436580053e-10,"TrH2_trans","OG0001282"
1.49161247734797e-14,0.146614104017353,0.154,0.081,1.44134513686134e-10,"TrH2_trans","OG0010337"
1.58078643536419e-14,0.16379310937911,0.325,0.211,1.52751393249242e-10,"TrH2_trans","OG0002506"
1.62153129192441e-14,0.143820186440495,0.214,0.125,1.56688568738655e-10,"TrH2_trans","OG0004890"
1.67634782788878e-14,0.629006800368968,0.109,0.051,1.61985490608893e-10,"TrH2_trans","OG0005280"
1.73833604795693e-14,0.190517384578655,0.491,0.369,1.67975412314078e-10,"TrH2_trans","OG0004278"
1.80367405414671e-14,0.479490691668478,0.124,0.062,1.74289023852197e-10,"TrH2_trans","OG0007601"
2.06841826504296e-14,0.300936004849121,0.424,0.304,1.99871256951101e-10,"TrH2_trans","OG0008989"
2.07014653086857e-14,0.291285386460727,0.145,0.076,2.0003825927783e-10,"TrH2_trans","OG0006555"
2.08153634558493e-14,0.212042269108379,0.836,0.707,2.01138857073872e-10,"TrH2_trans","OG0004010"
2.14687893599908e-14,0.106080405279892,0.206,0.118,2.07452911585591e-10,"TrH2_trans","OG0002877"
2.29256393703103e-14,0.0954555548214673,0.476,0.345,2.21530453235309e-10,"TrH2_trans","OG0002260"
2.36049780532851e-14,0.359707024461364,0.057,0.02,2.28094902928894e-10,"TrH2_trans","OG0004267"
