source,target,weight,source_type,target_type
4980,9974,-201579.41587545065,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,17290,-201314.90808249926,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,4734,-200955.14454535703,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,2703,-200759.42440582835,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,114,-199318.93579396934,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,18913,-199257.451559009,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,19862,-198481.8699538747,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,29129,-197825.42929060088,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,28450,-196351.0890167505,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,26346,-196247.0934551515,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4998,14923,195686.4696558389,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,608,-194713.01364961444,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,9374,194421.38141970208,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,25097,194358.0474881555,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,25097,-193025.68828003693,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,4949,192774.82675954996,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4830,14923,-192580.42961677245,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,3852,192171.6074752022,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,25771,-192145.34018631783,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,13529,-192096.76503735324,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4980,12854,-190375.66805486355,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
3591,6264,-190111.5887571744,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,9374,-189863.6391306152,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4993,14923,-188993.67195459804,"GL, Gland cell","CN, Cnidocytes/Nematocyte cell"
4989,397,188731.64426693672,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,21598,-188450.64835798737,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4980,21065,-188233.7953742514,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,397,-187497.92890108927,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,3852,-186401.65569557698,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,4949,-186378.39968747605,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,4064,-186265.18371357635,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,12693,185561.4302744705,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4652,15695,185321.53997592733,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,7030,185266.49727923205,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4534,14923,184064.1293453597,"NE, Neural cell","CN, Cnidocytes/Nematocyte cell"
4989,444,-184062.09667951707,"GA, Gastrodermal cell","EM, Epidermal/Muscle cell"
4980,25493,-184059.72161246644,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,1210,183858.97964569548,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,6660,-183469.88374408646,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,15162,183423.58116215002,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,7030,-181953.35425737538,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,21293,181481.41549636118,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,26456,181221.33379885042,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,3583,-180689.28038442446,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,32643,180093.361924299,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,11684,-180015.48939665876,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,25940,179923.93829941552,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,25590,-179720.49392473715,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,7645,-179479.79184488612,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,15162,-179354.31339087375,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,1210,-178916.11175174668,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,21293,-178896.32478103865,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3862,14923,178571.9515409549,"CN, Cnidocytes/Nematocyte cell","CN, Cnidocytes/Nematocyte cell"
4989,15827,178430.76235251536,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,4430,178213.43081180542,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4400,14923,-177994.294487013,"SG, Stem/Germline cell","CN, Cnidocytes/Nematocyte cell"
4202,26456,-177990.98400614643,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,12693,-177883.8253590672,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,1484,-177820.66693107813,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,12656,176998.3535219503,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4652,10104,176764.59867851867,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4989,30709,176454.6037012824,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,14483,-176133.33047417642,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,31575,176114.8417505887,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,15827,-175886.19739128402,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,32643,-175430.35242601845,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,23653,175221.96502860938,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,2561,-175052.5418822894,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,9256,175040.1614818832,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,25940,-174919.5355470875,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,4430,-174782.06488447383,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4774,15695,-174128.01379867605,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,28655,174109.62412095847,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,24781,-174009.64572280014,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4998,512,173468.90093620587,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3591,3144,-173284.09582039833,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,31575,-173262.17570142928,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,9233,173003.29271968562,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4652,28752,172981.91321889177,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
3989,14923,172736.49554151786,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,444,172471.45737676346,"GA, Gastrodermal cell","EM, Epidermal/Muscle cell"
