From	To
Q8MSF5	RNASEK
Q803R5	cmtr1
Q9GKS9	DZANK1
O42202	neurod1
Q6NRF4	ccnyl1-b
Q8NEL9	DDHD1
Q8K4L3	Svil
O57328	FZD1
Q7TNC6	Kif26b
B8A4F0	zdhhc16a
P0CB49	Ylpm1
Q9UN19	DAPP1
O77564	FOLH1
Q9N3X8	rig-4
Q5R5X9	SMYD4
Q2KIB9	POP4
Q04771	ACVR1
Q5E9U9	NPRL2
Q9ERC8	Dscam
P40313	CTRL
P00774	Cela2a
O00423	EML1
Q3LH63	dmrt1-a
Q62232	Six2
O73754	grem1
Q9VM21	gudu
Q6AYI2	Klhdc3
P52162	MAX
Q9Y243	AKT3
Q6NUP7	PPP4R4
O73755	GREM1
Q95LM1	UBE2U
B5YAR4	dnaJ
Q9UT00	SPAPYUK71.03c
Q9ULL1	PLEKHG1
P53041	PPP5C
P97411	Ica1
Q9I7T7	Larp4B
P19517	CACNB1
Q76MT4	Esf1
Q6GZQ0	FV3-075L
Q13257	MAD2L1
Q96L42	KCNH8
Q5PRC7	nabp1
Q5MB13	ABCG2
Q8NEV4	MYO3A
Q4G0J3	LARP7
Q9VGP0	Dtd
Q9JHX2	Sp5
Q0V882	TMBIM6
Q9H6Z9	EGLN3
D3ZAA9	Mpp2
Q1RMM1	ZC3H15
Q6DCK3	rasgrp2-b
Q8H0T4	UPL2
Q6P4F7	ARHGAP11A
Q09328	MGAT5
Q91883	hspa5
P24257	wnt1
Q9Y6F9	WNT6
Q32NU8	odad4
Q3T0L2	ERP44
P56962	STX17
Q90WR8	SP3
P10881	SSB
Q6P8M1	Tatdn1
E9Q286	Ice1
Q5JU00	TCTE1
Q497V6	Bahd1
Q6P632	naa20
O35166	Gosr2
P60009	ACT1
A0A481WQ18	traH
Q5F389	WWOX
A2T7P4	GSC
P80206	Otx2
Q6NRT6	dnajc10
Q1RLY6	kmo
O08919	Numbl
Q6IMM1	DNAJC27
Q8NBP0	TTC13
Q14315	FLNC
Q502G2	tmem41aa
D2GZV9	ENTPD5
Q5XIW8	Sart1
P54922	ADPRH
Q8SR86	CDC28
Q6P2Z6	nmd3
Q8IY50	SLC35F3
Q7ZVN5	srp54
A5PKH3	FAH
F1P4W9	CFAP65
P0C2C4	Mrpl10
Q99708	RBBP8
Q17QG5	UBE2G2
Q9EQG7	Enpp5
P98088	MUC5AC
Q6GMK8	gmppaa
Q9WV08	Aplnr
P0DH95	CAM1
P11475	Esrrb
Q99615	DNAJC7
P80895	PCMT1
Q8WZ42	TTN
A4IIW7	cdk14
Q3YL68	b4galt5
P15535	B4galt1
Q8K348	Acvr1c
Q91175	adra1a
Q8R5L3	Vps39
Q63170	Dnah7
Q9NXD2	MTMR10
P99029	Prdx5
Q920R0	Als2
Q8K158	Cnppd1
Q7TN73	Casd1
E1C7T6	TYW5
O77783	EXT2
Q6DHL5	lrrc57
Q8C1A9	Abhd18
Q62388	Atm
Q96EZ8	MCRS1
Q6QI68	Psenen
Q5TYV0	emc7
Q2T9X7	UBE2E3
Q5SSZ5	Tns3
Q6DFS6	chmp2a
Q6GQA6	csn8
Q00532	CDKL1
Q2KJC8	FKBP9
Q9PTJ6	NFI1
P24844	MYL9
Q1LZ78	NTPCR
A8T6P4	myrip
Q15678	PTPN14
F1MS15	PLEKHA8
Q49XZ6	sodA
Q8BTU7	Rccd1
Q15061	WDR43
Q3TV65	Mpnd
Q01082	SPTBN1
P07814	EPRS1
Q14997	PSME4
Q86TI4	WDR86
P49356	FNTB
Q2TBA3	Malt1
A5JYS0	pcs-1
Q9USQ7	mug71
O73718	TBX3
P49454	CENPF
Q9A9H3	per
Q9DGD1	MGAT4C
Q00963	beta-Spec
O09044	Snap23
Q8TDX6	CSGALNACT1
A8QCE4	Bm5439
A8XJ93	rpl-11.2
P24722	tck1
Q9NZN3	EHD3
A0JMY4	ccdc176
Q689D1	TLR2
Q9JI67	B3galt5
Q9H8Y8	GORASP2
Q9LQ12	4CLL1
O13148	epha4a
Q5CB04	B3GAT1
Q29RN6	SOCS5
Q6AXQ0	Sae1
Q642M9	dhdh
Q8C5N3	Cwc22
O88488	Ptprq
Q9D7A8	Armc1
Q8K1N4	Spats2
Q9P2G1	ANKIB1
P09543	CNP
Q642R9	rab3gap1
Q7JK24	B3GALT1
Q2PFX5	RGN
P97273	TITF1
P63154	Crnkl1
A1L0Y2	neurl4
Q15147	PLCB4
Q9Y3Q3	TMED3
Q32PH2	TMEM143
Q8WUB8	PHF10
Q8AV58	SDK1
Q498G2	cep152
Q86W92	PPFIBP1
P53546	gsc-b
Q26417	OTX
P32242	OTX1
Q90267	otx1a
Q5R8S4	ERLEC1
Q9PT61	otx5-b
Q9WTS2	Fut8
Q99M03	Rwdd2b
Q5ZKD1	CEPT1
Q96L03	SPATA17
Q80ZF8	Adgrb3
Q568Z6	Ist1
Q9P2K3	RCOR3
Q9ESS0	Dusp10
Q64521	Gpd2
Q6DI51	nme6
Q9GT45	RpS26
O08760	Ogg1
Q9QYP2	Celsr2
Q91379	NR2E1
Q90673	PRELID1
Q9TTF0	NR2E3
Q9DBR1	Xrn2
Q9H3S7	PTPN23
P84173	PHB1
B0S6T2	slc15a2
Q8BG94	Commd7
P48024	Eif1
A8TX70	COL6A5
Q9CVI2	Fam133b
O73888	HPGDS
Q6AX60	bbs9
Q8CFE5	Btbd7
Q5ZHV5	JMJD4
Q96GW7	BCAN
A6QQL9	SRP14
F1RCP1	becn1
P32303	agtr1-a
Q2KI14	NAA10
M1BYJ7	NDB1
P51971	EIF1
A4FUD4	PEX12
Q7TSL3	Fbxo11
Q2HJH0	LSM5
Q8CJ69	Bmper
Q6PDJ1	Cachd1
Q54FG7	jcdF
Q9D4H9	Phf14
Q8VBT0	Tmx1
Q86SR1	GALNT10
P35869	AHR
Q9P2K8	EIF2AK4
P51687	SUOX
Q9DC33	Hmg20a
P51955	NEK2
Q91XC8	Dap
Q5ZJQ3	LIN52
Q6ZS30	NBEAL1
Q98SW2	hif1a
Q07536	ALDH6A1
P59328	Wdhd1
Q8TD10	MIPOL1
E1B8W3	ODAD2
Q8BPM2	Map4k5
Q58DS9	RAB5C
A8MPX8	PP2D1
Q8AVY1	cimap1a
Q8BTF7	Lig4
Q6PD31	Trak1
P90666	NME8
Q7ZWM6	ola1
A2CG49	Kalrn
Q9JJN0	Polh
Q8WXE9	STON2
Q13625	TP53BP2
A2ARV4	Lrp2
Q6DFS0	tmx2
P31006	GUK1
Q9Y2I7	PIKFYVE
Q6NWF4	vps25
E9Q5F9	Setd2
Q9LDK9	BETAA-AD
P08183	ABCB1
Q6NVJ5	dip2ba
Q49A88	CCDC14
P35604	COPZ1
E7F6T8	usp37
Q61188	Ezh2
O42131	TOP2B
Q9DAJ5	Dynlrb2
Q9VVY3	Gbs-76A
Q9VXE5	mbt
P21448	ABCB1
O42097	foxa2
Q6RI86	Trpa1
P11586	MTHFD1
Q51330	oxlT
Q3T140	DYNLRB1
Q6IR70	ppp1r21
Q8TCG1	CIP2A
Q7TQC7	Gpatch2
Q9FUS8	GSTU17
A4XLR3	rpsE
Q9Y2U5	MAP3K2
Q5NLX3	rsfS
A7J1T2	map3k13-a
Q28GL6	slc7a6os
P26516	Psmd7
Q8BYA0	Tbcd
O93274	fzd8
Q3ZBA6	DNAJB11
Q2NKS2	COX16
O95260	ATE1
Q5F4A1	G2E3
Q55A09	DDB_G0272254
Q9M2U3	At3g55350
Q12766	HMGXB3
A6ZU08	TOS3
Q9TXJ8	K02F3.12
Q4R9C4	G2E3
Q9P4Z1	B11B22.010
Q9FT72	RECQL3
Q86W25	NLRP13
P51859	Hdgf
O57478	fech
Q8K2J9	Btbd6
P23640	Rab27a
Q58DW0	RPL4
Q9V895	Anp32a
Q86VD7	SLC25A42
Q8VDB9	Slc6a20a
Q5R733	CPEB1
Q9NPH0	ACP6
Q0WU02	MTP10
P0DX22	Patl_0798
Q6ZUX7	LHFPL2
Q9Y3B3	TMED7
P82471	Gnaq
P27089	XPA
P26039	Tln1
Q06S87	urah
Q92122	pkm
Q3ZBV3	MAGOH
Q9UQ03	CORO2B
Q9D1C9	Rrp7a
Q91ZR4	Nek8
Q9R112	Sqor
Q9GUM2	bre-4
Q9CXD6	Mcur1
Q12923	PTPN13
Q6NWZ9	cdo1
O60331	PIP5K1C
P67881	CYC
Q9Y617	PSAT1
Q9NYL9	TMOD3
P40818	USP8
Q54X73	aco1
Q4N4N8	TP02_0602
P49263	pxn1
O75534	CSDE1
Q9VFC8	Glys
Q8N4P6	LRRC71
Q8IV38	ANKMY2
P27046	Man2a1
P25054	APC
Q9UK45	LSM7
Q5FVD7	cdc42se2-a
P48060	GLIPR1
Q96ST3	SIN3A
Q68Y62	CPT1A
Q3T0D3	NTAQ1
O43396	TXNL1
Q569D5	selenbp1
P67810	SEC11A
Q9TTY2	FER
Q5PQ71	isoc2
P05689	CTSZ
Q4V7T8	ropn1l
Q5R7S6	ZFAND6
O57521	hsp90ab1
Q9R1T3	Ctsz
Q9D0S9	Hint2
Q6DEF4	lysmd2
Q13485	SMAD4
Q8CFV9	Rfk
Q6P4J8	smu1
Q6P8G1	ilf2
Q84H41	xsc
P70583	Dut
Q5VY43	PEAR1
P28289	TMOD1
Q9JJ22	Erap1
Q9EP89	Lactb
Q3UGF1	Wdr19
P81069	Gabpb2
Q02241	KIF23
Q8BYH7	Tbc1d17
A0A2R8QP51	dpp9
A7S4N4	serinc
Q32LQ0	ENPEP
A0A0K3AWM6	mom-5
Q86WA6	BPHL
Q9NZ08	ERAP1
P84022	SMAD3
Q07157	TJP1
A0A1L8H0H2	rfx7.L
Q6DCP6	dym
Q5ZJN2	RAB11A
P28024	psmb4
Q9SF91	RABE1E
O24466	RABE1A
A4FV54	RAB8A
P41924	RYL1
Q32MH5	ATOSA
Q07075	ENPEP
Q5PQL3	Sppl2b
O18783	PLG
P41366	VMO1
Q93062	RBPMS
Q0IHU9	Prune2
Q66X05	Nlrp4f
Q8C6J9	Nlrp4b
Q2KJI2	STT3A
Q7ZX83	hnrnpdl-a
Q7T0Y4	drc1
Q8BL74	Gtf3c2
Q4R3D4	EEF1D
Q3ULD5	Mccc2
Q922R8	Pdia6
Q6TLI7	ADORA2A
Q9H270	VPS11
Q9JJZ1	Slc2a8
P34473	F58A4.6
A4IFE9	TM9SF1
Q07617	SPAG1
Q52KD1	slc10a7-b
Q6NY98	rngtt
Q2QI47	Ush2A
Q8N3Y7	SDR16C5
P21932	Adcy3
Q5RH73	smo
Q4H4B6	scrib
Q38PU7	GRIA2
Q91VS7	Mgst1
A7S6A5	sdad1
Q91755	grik2
P12981	JUN
Q9DBU3	Riok3
Q9EQ06	Hsd17b11
Q6IE24	Usp54
Q3SYV4	CAP1
Q5DU00	Dcdc2
Q640S2	crbn
Q9WUU9	Mcm3ap
Q19749	dlat-1
Q00719	mdmC
Q5GFD8	IMPACT
Q9Z2D0	Mtmr9
Q9H6X2	ANTXR1
Q8K4M9	Osbpl1a
Q3B7T8	Cep44
O35261	E2f3
Q91ZV2	Dcbld2
E1BYJ2	MSH6
Q9H867	VCPKMT
P49848	TAF6
Q3T078	ENKD1
P07314	Ggt1
Q32NR9	wdpcp
P19838	NFKB1
Q5I030	vimp
Q99PI4	Lpin3
Q1LY51	znf704
Q3SZI6	RPN2
O43909	EXTL3
Q9VI25	Neurochondrin
Q15029	EFTUD2
F6Y9J3	fbxo9
O95551	TDP2
Q8TDM6	DLG5
Q9WTP6	Ak2
P25708	NDUFV1
Q90YR6	rps8
Q5REC0	ZC2HC1A
Q54E24	rps8
Q9H5L6	THAP9
P16157	ANK1
P92208	bsk
Q0P424	elp6
A6H603	Nwd1
Q5GLZ8	HERC4
P43680	Sox18
Q5ZJL8	ABHD13
Q9QXN1	Lef1
Q90XB6	SULF1
Q96AJ9	VTI1A
A0A4X1TB62	DCTN4
Q93572	rplp-0
Q61124	Cln3
Q9CZE3	Rab32
P57729	RAB38
P69849	NOMO3
Q92576	PHF3
Q9VAC5	Tace
Q91WI7	Itfg2
Q4KM92	Pus1
A7GCK7	psuG
Q8BKN5	Tubgcp5
O15118	NPC1
Q9D361	Snrnp48
Q8NI08	NCOA7
Q8IZA0	KIAA0319L
Q0A9G6	Mlg_1172
Q6X4W1	NSMF
P42696	RBM34
Q2HJ95	ZDHHC6
O93310	rad21
Q6P4Y6	irs1
Q8K4L0	Ddx54
P52849	NDST2
Q8NB78	KDM1B
Q9Y5A9	YTHDF2
Q9BSF4	TIMM29
Q5ZKN3	PHTF2
Q90268	pax2a
Q68EX9	chid1
O75369	FLNB
Q8INF0	Gyc88E
Q86X83	COMMD2
Q9VPD5	mTerf3
Q9NR20	DYRK4
A1L3G4	tmem241
Q9TTM9	ADRA1D
Q0VGT4	Zgrf1
Q69ZU6	Thsd7a
O18866	KCNMA1
Q9H2D1	SLC25A32
Q32LA7	H2AZ2
P09875	Ugt2b1
Q54XH6	phyhd1
F7A4A7	Otogl
O15457	MSH4
F4K2M8	JMJ31
A6N6J5	Wdr35
Q8R4G9	Chrna3
Q07263	CHRNA3
Q9R1D7	GBF1
Q3UHD6	Snx27
P26153	CHRNB4
Q5U374	klhl12
Q99NI4	Ipmk
P30098	TACR3
E1BB03	ZRANB3
P16388	Kcna1
Q64213	Sf1
Q5F477	LDAH
A2VE56	PHF20L1
Q6ZWL3	CYP4V2
P10253	GAA
Q09470	KCNA1
Q9Y4W2	LAS1L
Q27958	POLB
Q8IS44	Dop2R
Q8BN82	Slc17a5
Q5Q0U0	Slc17a5
Q5PQ44	cfap299
Q6PHL4	nkain1
P10620	MGST1
Q4V9H5	Phf20l1
Q24488	Ror
Q2T9V5	TRMT6
O76387	C24G6.8
Q9JIS1	Rims2
P19944	Rplp1
Q9CWH5	Trmt11
O14618	CCS
P70579	Grm8
P11678	EPX
Q9D9T8	Efhc1
P56407	ceh-9
Q7ZW02	chpt1
B3LGB9	TRM82
Q071E0	kmt5aa
Q99PT0	Ddx52
O35413	Sorbs2
Q4R0J7	ARD1
Q559T8	DDB_G0272282
Q5RHP9	ERICH3
Q99315	TY3B-G
A6H584	Col6a5
Q7ZXQ8	dnajb14
Q0P5F9	ALDH8A1
Q9GZR5	ELOVL4
A2VDT1	PTP4A3
Q99K70	Rragc
Q9UK17	KCND3
Q8VBX6	Mpdz
Q5W4S4	FNIP1
Q9ZCN5	RP688
Q6CGG3	FPR2
Q5PQ53	pef1
Q9UMS0	NFU1
Q8CEE6	Pask
Q78KK3	Slc67a1
Q6PFL6	ccdc43
Q5D1E7	Zc3h12a
Q8CFP6	Dnajc27
Q93Z92	At4g11680
Q6PE01	Snrnp40
O73925	KCNQ1
Q5PPZ5	bin3
Q69ZS6	Sv2c
Q5XI41	Tram1
A7SCH8	kynu
Q6DCX5	slc46a1
Q8K0Q5	Arhgap18
Q7JQF1	Oamb
Q5XHC1	cfap96.L
Q9CXF0	Kynu
Q9NR82	KCNQ5
Q99973	TEP1
F1QB54	pabpc1a
P58375	RpL30
Q9XT06	TCP1
A1A5S1	Prpf6
Q8WXR4	MYO3B
Q63ZI0	kcnk9
Q9UJT0	TUBE1
Q1L8F9	kics2
Q7ZXH2	nsmce2
Q803I2	ergic3
Q9NW15	ANO10
Q9V3J1	VhaSFD
O43150	ASAP2
Q63313	Lbp
Q92519	TRIB2
A0PJR5	echdc3
Q8CDN9	Lrrc9
Q641M3	tmem18
P63328	Ppp3ca
P12527	Alox5
P46436	GST1
Q9Y2Y1	POLR3K
O14802	POLR3A
A5D7R1	TNFRSF11B
Q5HZI9	Slc25a51
Q68F35	slc20a1-a
P96579	ydaF
Q3SZM6	CMC1
P31040	SDHA
O00487	PSMD14
P70297	Stam
Q8CJG0	Ago2
P0C152	Tmem67
Q6DC77	paqr5b
Q4U2R1	Herc2
Q9JLT4	Txnrd2
Q4G0A6	MINDY4
Q9USM7	tim23
Q0VC00	ABHD3
Q6A4L1	slc12a8
P16924	P4HA1
Q3TZZ7	Esyt2
P13674	P4HA1
Q55C17	gpsn2
Q9NV58	RNF19A
P54001	P4ha1
Q15311	RALBP1
Q66GV0	mpv17
Q9QXX0	Jag1
A8XZB0	mai-2
A5WUN7	camsap1b
Q9UKP4	ADAMTS7
Q9V9K7	Ars2
O54748	Stk3
Q9VPD3	Pss
Q14BI2	Grm2
Q61749	Eif2b4
Q3UDW8	Hgsnat
Q9UKP5	ADAMTS6
Q8MIR4	COASY
Q3ZBF0	NADSYN1
O77460	Nurf-38
Q2KJJ5	TBL3
Q0VD19	SMPD1
Q5ZIM5	METAP1
Q7ZV80	smndc1
Q148N0	OGDH
Q9XGA0	PRS3
Q8TE56	ADAMTS17
O75173	ADAMTS4
O43399	TPD52L2
Q65Z40	Wapl
Q6P5D8	Smchd1
Q9H251	CDH23
Q6ING9	ppm1k
A7SG48	v1g117062
O94766	B3GAT3
P49207	RPL34
Q9D882	Fam241b
Q9D9B4	Lrmda
Q98SH3	ADRM1
Q8NEZ2	VPS37A
Q9CY16	Mrps28
Q8TAF3	WDR48
Q53T59	HS1BP3
P28465	Wnt2
Q8BSY0	Asph
Q5ZJ56	RPL7
F1MH24	AAK1
Q52KK4	Naf1
P51984	CREB
Q1LUI2	hddc2
P48506	GCLC
Q8C854	Myef2
Q9VYV3	prtp
Q28CB1	tbc1d2b
B1MTJ4	SETD3
Q98925	IRF2
Q99PF4	Cdh23
P23687	PREP
Q80TP3	Ubr5
Q5NC32	Slc16a11
Q2HJ10	Slc30a2
O95847	SLC25A27
Q5IGR8	ext1a
Q7ZXZ0	zmcm3
Q9CR40	Klhl28
O60763	USO1
Q14832	GRM3
Q3ZCF3	SKP1
Q02874	Macroh2a1
A4WVL9	rplA
Q6P268	pdcl3
Q6ZQ38	Cand1
A4IGK3	crebl2
Q5RID7	snx17
Q5SYC1	CLVS2
Q9BLJ6	Samui
P36241	RpL19
Q9NWM8	FKBP14
A4FV84	MRTO4
Q9NR30	DDX21
Q9KPS0	bolA
Q566C5	Rassf4
O16867	tap
Q0IH24	spef1
Q9DCT5	Sdf2
Q0IIG5	PFKM
Q5R6R1	EYS
Q3A6Q7	rplA
Q9UBI4	STOML1
P97438	Kcnk2
O35491	Clk2
Q13093	PLA2G7
Q90596	MAFK
Q6DIV4	rbm38
Q7TQF2	Fbxo10
Q9C0B7	TANGO6
Q9VQX4	Naprt
Q9Y3B4	SF3B6
Q8NFU7	TET1
Q29448	HMGCL
Q8IZQ1	WDFY3
Q9QXT1	Dapp1
D3YZP9	Ccdc6
Q9VCP0	EloA
Q8IX29	FBXO16
Q5XIA8	Ghitm
P22003	BMP5
Q6P5E8	Dgkq
Q0V9A9	lactb2
Q9JI85	Nucb2
E9Q2Z1	Cecr2
P61211	Arl1
Q400G9	AMZ1
Q5TGY1	TMCO4
P98139	F7
Q96LU5	IMMP1L
P28818	Rasgrf1
Q641G4	ncaph2
Q95L46	EIF4G2
Q5ZKZ9	LMF2
O95076	ALX3
Q5ZJL9	SAMHD1
Q15047	SETDB1
P18484	Ap2a2
P34943	NDUFA9
Q14332	FZD2
Q15256	PTPRR
Q55FM5	mtpn
P97315	Csrp1
P48509	CD151
P50460	CSRP2
Q64127	Trim24
Q606D6	ilvD
F6QEU4	trim71
Q6AXX1	Slfnl1
Q9DE27	ruvbl2
D2GXS7	TRIM2
P04813	CTRB1
Q92759	GTF2H4
Q9NY37	ASIC5
P28648	Cd63
P41731	Cd63
Q28193	FURIN
P63239	Pcsk1
Q92824	PCSK5
A5D8P8	emc10
Q8T880	AXP83.9
Q9NS93	TM7SF3
Q58DT5	ELMOD3
Q9Y603	ETV7
P32780	GTF2H1
Q4R764	SYCP3
A3RL54	SLC9C1
Q4R899	LMNTD1
P29119	furin
P29120	PCSK1
P28840	Pcsk1
Q9Y2F9	BTBD3
P51049	mtnr1bb
P50429	Arsb
Q5FYB1	ARSI
E7F211	ttc17
Q1HRV8	AAEL008004
Q5U4K5	tmem41b
O88866	Hunk
Q5F4B1	PGP
Q9IB89	zic5
P48160	rpl27a
P54145	amt-1
Q9Y2H1	STK38L
P30938	Sstr5
Q4V7B1	Cfap20dc
P08621	SNRNP70
Q3MHQ7	TMEM86A
Q9EPL8	Ipo7
Q61241	Tssk1b
Q05744	CTSD
O77302	RPS10
Q32NG4	gatd1
Q5F480	ITPK1
Q1EHB4	SLC5A12
Q49B93	Slc5a12
Q922J9	Far1
P59438	Hps5
Q2YDE3	GOLT1B
Q3T0X6	RPS16
Q8CIW5	Twnk
Q8AVR2	fgfr1op2
Q8VDK3	Elf5
Q8VI63	Mob2
P18090	Adrb1
Q8R104	Sirt3
O54783	Chkb
Q6AYJ1	Recql
Q5ZJJ1	ZC3H11A
Q7T2D4	ergic2
Q5REB8	ACSS3
Q29RP8	KMT5B
D3ZWE7	Hormad1
A7SPX9	v1g192238
Q28EB4	nap1l1
Q0VCR0	ETFRF1
P35805	mycl1-b
Q8R060	Zwilch
Q9Y3B9	RRP15
Q6NVU6	UFSP1
B9EJ86	Osbpl8
A3KN22	UBE2M
A2CEH0	poc1b
Q9Y2I1	NISCH
Q54R42	DDB_G0283417
Q6UPE0	Chdh
Q9D2N9	Vps33a
Q5ZMW3	API5
Q8WUX2	CHAC2
Q8QGQ7	BMAL2
Q95ND5	CASP3
Q9BRR6	ADPGK
A7SPW6	v1g215604
Q60865	Caprin1
B0XK69	CPIJ019830
Q13136	PPFIA1
Q4V7B8	Rnf44
Q3TT38	Ilrun
Q7SXV9	calub
Q96EB1	ELP4
O08873	Madd
O74777	mis3
Q9Y6N9	USH1C
E1BYA3	PTDSS1
P9WMU2	glpQ1
Q5XIG6	Galk2
P63283	UBE2I
Q53RD9	FBLN7
Q6DGN6	spty2d1
A9C3R9	rpe65b
Q9HAY6	BCO1
A0A2B4RP11	cGLR1
P24288	Bcat1
A0A8B8BQ58	cGLR1
Q11100	tag-52
P21728	DRD1
Q3MHW9	CYB5R1
O95985	TOP3B
Q8NA31	TERB1
Q63415	Pcsk6
Q14008	CKAP5
A6H7C2	PEX3
Q6P3W7	SCYL2
Q8N695	SLC5A8
Q4R8N2	LIN9
O95461	LARGE1
Q8C080	Snx16
O43913	ORC5
Q6BDS2	BLTP3A
Q8TAC1	RFESD
Q9UKX7	NUP50
Q8SPU6	CHRNB4
Q96A54	ADIPOR1
Q9NSD4	ZNF275
P40241	Cd9
P36544	CHRNA7
Q6DDS9	xrcc5.L
P61170	CD151
Q5XGB9	lap3
P15388	Kcnc1
A7XUJ6	TRAF6
P59672	Anks1a
Q8CH62	Lto1
A7S7F2	bysl
Q8BHR8	Cstpp1
Q66H95	Slc49a4
Q7ZWY2	pih1d1
Q8IWQ3	BRSK2
Q6ZPE2	Sbf1
Q96KP4	CNDP2
Q5A109	UBI3
Q03168	AAEL006169
F1QU13	alpk2
Q4LBB9	Octbeta2R
O02703	BAX
Q5F408	CARS1
Q86TZ1	TTC6
Q80ZM7	Gtf2a2
Q16531	DDB1
Q02045	MYL5
O60678	PRMT3
Q9GKM4	BCAT1
Q7T199	KCNA10
Q86JM7	p2xA
Q8IS14	gefJ
Q02790	FKBP4
O93336	hs2st1
Q17103	MYC
Q2TBN5	COMMD9
P22555	MYC
Q8NI77	KIF18A
A2T7L5	MYC
P34693	snt-1
Q9EQC4	Elovl4
P50130	DRD1
Q9JJS6	Bco1
Q9VGI8	Blm
Q5SVZ6	ZMYM1
Q6AYT0	Cryz
O13154	PACSIN2
O14727	APAF1
Q5I047	atpsckmt
O62761	BCHE
Q96GN5	CDCA7L
Q9HBU6	ETNK1
O35566	Cd151
Q6P7Q4	Glo1
P04818	TYMS
Q9H2X6	HIPK2
Q4VC05	BCL7A
P97814	Pstpip1
Q62018	Ctr9
O88572	Lrp6
Q6NWC6	cpsf6
Q7ZUC2	sdf4
Q7L2J0	MEPCE
Q91V12	Acot7
P0DPD6	ECE2
P28826	Mep1b
Q5TZA2	CROCC
Q6NYS8	ddost
Q6NX89	eif5a
Q3T134	SPCS1
P58058	Nadk
Q9P2S5	WRAP73
Q6ZUI0	TPRG1
Q5F464	LPP
E7F4V8	pex2
Q922Y2	Trim59
Q9H0C1	ZMYND12
Q29HY3	Cdc42
Q6NWH1	dcaf10
A3KPP3	rangrf
Q09741	SPBC12C2.07c
Q05BC3	Eml1
Q15427	SF3B4
Q8R516	Mib2
Q96S94	CCNL2
Q14839	CHD4
Q99JH7	Clstn3
P56399	Usp5
Q61655	Ddx19a
Q8BXR1	Slc7a14
Q4FZX7	Srprb
Q64674	Srm
P28338	Gst1
P24802	PLOD1
P79959	gnb1
P30823	Slc7a1
Q0V9W6	btbd6
B8MKY6	tstA
Q5BKC6	Hspbap1
O95140	MFN2
Q0V869	OTU11
Q9UNL2	SSR3
Q0P5D0	PPIH
P33534	Oprk1
Q868Z9	Ppn
F1MV99	SSTR5
Q96DP5	MTFMT
Q7TMW6	Ciao3
B0FPE9	NLRP3
P78364	PHC1
Q5SRE5	NUP188
P42898	MTHFR
Q9U3S9	nas-6
P51789	CLCN2
Q96C19	EFHD2
Q9UIK5	TMEFF2
Q9JI38	Pus3
P97386	Lig3
Q5ZKI6	GXYLT1
A3KPP4	slc25a35
Q80TZ9	Rere
Q9WUA2	Farsb
Q6P1A2	LPCAT3
Q02978	SLC25A11
Q5QJE6	DNTTIP2
A1A4J8	SCO1
O43432	EIF4G3
Q5ZKS8	UBIAD1
Q9NVH1	DNAJC11
Q8WYP5	AHCTF1
Q7SYJ9	spag7
P21158	csgA
Q96A11	GAL3ST3
Q96DM1	PGBD4
Q9H3Q3	GAL3ST2
Q9D2N4	Dtna
O95619	YEATS4
A0JNI9	SLC7A14
O70475	Ugdh
Q5U247	exoc8
Q9D4H2	Gcc1
Q09081	KCNA2
Q06HQ7	PLB1
Q9LSB1	GUX1
Q9ES00	Ube4b
Q9P6K1	sft2
Q812F3	Hyal5
Q9UNL4	ING4
Q60HE9	MAN2B1
Q8BSF4	Pisd
Q29081	PMVK
Q6IFT6	Ano7
P21573	ybx1
Q9XT54	PDE6D
Q5RCM7	DNAJC16
Q5E9F9	PSMC2
Q9R053	Scn11a
Q5ZHM5	RER1
Q9CR24	Nudt8
Q2TA11	CFAP107
Q9DB60	Prxl2b
Q5BLE8	retsat
Q4LAL6	ALX4
Q8VDJ3	Hdlbp
Q32LD2	UBE2T
Q9QWV4	Mlf1
Q3TTY0	Plb1
Q8BM47	Plekhm3
P31320	PKAR
Q4R7H0	TTLL10
P47736	RAP1GAP
Q5M886	Adprm
Q96T58	SPEN
Q6DCE8	slc7a2
Q9H0R3	TMEM222
O00461	GOLIM4
Q497D6	ddi2
P49915	GMPS
Q6DK85	kcnrg
Q6GMH0	prpf18
Q5ZMP6	AP2M1
B0DOB4	nphp4
Q765A7	Pgap1
Q62074	Prkci
A4IH36	c1qtnf12
Q6P1X6	C8orf82
Q8NCX0	CCDC150
Q6PCF7	ube2z
Q3B7Z2	Osbp
A1A5X5	c1qtnf12
Q8K4Z4	Adrb2
Q3UK78	Pcgf5
P49337	WNT4
Q9I7S6	Pde9
Q9P0M2	AKAP7
Q05048	CSTF1
A4QND5	nip7
Q920N5	PEX5
Q9GL59	GGCX
A2A7Y5	Miip
Q6NS26	cdkal1
Q53EV4	LRRC23
Q4KWZ7	REV1
Q8LPZ7	CPK3
Q9WV70	Noc2l
Q9H0C5	BTBD1
P22274	ARF1
A4IG66	tmem201
Q9GJW7	GABARAP
O12947	icmt
Q6RFZ7	Plekhg5
Q5R629	ARMC9
Q8C811	Slc35e2a
O75420	GIGYF1
O75934	BCAS2
Q03356	msxb
B9U3F2	DISP3
Q05793	Hspg2
Q05A13	Sdr16c6
Q95116	THBS2
Q8CHN8	Masp1
Q7TNS2	Micos10
P47198	Rpl22
Q6DBQ8	cptp
Q6PC19	ssu72
A2BIG9	naa38
