From	To
Q95LN2	CFAP70
O96024	B3GALT4
Q9R1T4	Septin6
P52194	Clgn
Q8N5Y2	MSL3
Q64332	Syn2
Q8BTV1	Tusc3
Q6YBV0	SLC36A4
A0A0R4IWG9	gcna
Q3L254	WNT7B
Q9WU06	Avil
Q6TNS2	pak1ip1
Q5YLG1	eglA
A0A1U8QWA2	ATRR
Q98SN8	sec61ab
P22534	celA
Q6P2P2	PRMT9
Q03188	CENPC
P10394	POL
D2I3C6	DCLK2
P38024	AIRC
P35433	Ppat
Q8N5T2	TBC1D19
A7SBF0	ints9
P94598	gdhA
O75896	TUSC2
Q3T169	RPS3
Q8NI36	WDR36
P42325	Nca
Q61603	Glra4
Q0VF22	Ccdc138
Q9UK61	TASOR
O18276	gab-1
Q6XPS3	TPTE2
Q9VCA2	Orct
Q9XX00	sbp-1
P55864	pax6
Q5SXM2	SNAPC4
Q8NHP6	MOSPD2
Q26657	ALX
B2GV36	Slc22a13
Q68F72	slc15a4
Q9NZJ4	SACS
Q9H237	PORCN
Q60HD6	PMM2
Q8WXW3	PIBF1
Q9NX55	HYPK
Q502W6	VWA3B
Q9CQ79	Txndc9
Q6DJH2	aasdhppt
Q8WTS6	SETD7
Q5IRJ6	Slc30a9
A7RNG8	v1g180167
P51954	Nek1
Q6GMK0	mgat4bQ9UQ53
Q923A2	Spdl1
D3YXG0	Hmcn1
E7EYQ9	tmem216
Q9WU40	Lemd3
Q91ZP6	Ndfip2
O70165	Fcn1
P17480	UBTF
Q9NR64	KLHL1
O35114	Scarb2
P83852	CPD
P49582	Chrna7
Q86VN1	VPS36
Q9DF58	ILK
Q8NI27	THOC2
Q86VD9	PIGZ
P79942	noct
Q96RY5	CRAMP1
A2ASS6	Ttn
Q2KI84	HARS1
Q5XK67	polr1d
Q6DRC0	sars1
P42893	Ece1
Q924W7	Dennd2b
Q17QI5	VAMP7
A2A259	Pkd2l1
Q15262	PTPRK
Q20191	nas-13
Q8C7H1	Mmaa
Q460N5	PARP14
Q91X85	Flvcr2
Q5RBU7	PRCP
Q92870	APBB2
Q91YE6	Ipo9
Q9R1S3	Pign
E1B7L7	UBN2
Q9YH85	TECTA
Q6PDN3	Mylk
Q99JW2	Acy1
Q92545	TMEM131
Q9Y2L1	DIS3
Q9UBN7	HDAC6
Q91YL7	Cwh43
Q91YQ5	Rpn1
Q3ZBY7	DEGS1
F1NWE3	PTPRS
E7FCN8	intu
Q9CR67	Tmem33
Q6ZWB6	KCTD8
Q8R323	Rfc3
Q0V8F1	CORO7
O60503	ADCY9
Q9GKT2	FAXDC2
Q14094	CCNI
Q2KJH5	CFAP97
Q16534	HLF
F1R345	ddx11
Q2TBE0	CWF19L2
Q00547	Hmmr
Q2KIG0	ETFDH
P62597	POT1
Q5ZMS6	TDRD3
P36571	bioC
P91580	COS41.2
O94868	FCHSD2
Q9VCA9	Spase22-23
Q5EAK8	dram1
Q8VE88	Fam114a2
Q8BGG9	Acnat2
Q8CDK3	Iqub
A3KMV5	UBA1
Q4GZT3	PKD2
Q8TEA7	TBCK
