,Sub_cell_type,Broad_cell_type
1_CELL1_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL2_N2,SG_3,"SG, Stem/Germline cell"
1_CELL6_N3,GA_4,"GA, Gastrodermal cell"
1_CELL7_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8_N3,SG_1,"SG, Stem/Germline cell"
1_CELL10_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL11_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL15_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL17_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL19_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL20_N3,GA_2,"GA, Gastrodermal cell"
1_CELL23_N4,HA,"HA, Hair cell"
1_CELL25_N3,NE_1,"NE, Neural cell"
1_CELL29_N4,GA_2,"GA, Gastrodermal cell"
1_CELL31_N2,GA_1,"GA, Gastrodermal cell"
1_CELL32_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL33_N3,GA_2,"GA, Gastrodermal cell"
1_CELL37_N4,GA_2,"GA, Gastrodermal cell"
1_CELL38_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL41_N1,GA_3,"GA, Gastrodermal cell"
1_CELL44_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL46_N2,GA_2,"GA, Gastrodermal cell"
1_CELL47_N5,EM_2,"EM, Epidermal/Muscle cell"
1_CELL48_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL52_N4,GA_1,"GA, Gastrodermal cell"
1_CELL56_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL60_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL61_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL62_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL63_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL69_N2,GA_5,"GA, Gastrodermal cell"
1_CELL72_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL74_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL76_N2,GA_2,"GA, Gastrodermal cell"
1_CELL77_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL78_N2,GA_1,"GA, Gastrodermal cell"
1_CELL82_N3,HA,"HA, Hair cell"
1_CELL85_N2,SG_2,"SG, Stem/Germline cell"
1_CELL88_N3,NE_3,"NE, Neural cell"
1_CELL89_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL90_N3,GA_2,"GA, Gastrodermal cell"
1_CELL91_N3,GA_5,"GA, Gastrodermal cell"
1_CELL92_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL100_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL101_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL102_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL103_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL105_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL108_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL116_N3,GA_4,"GA, Gastrodermal cell"
1_CELL117_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL121_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL124_N3,GA_1,"GA, Gastrodermal cell"
1_CELL125_N2,GA_1,"GA, Gastrodermal cell"
1_CELL126_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL127_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL132_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL135_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL136_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL137_N5,GL_1,"GL, Gland cell"
1_CELL140_N3,GA_1,"GA, Gastrodermal cell"
1_CELL141_N3,GA_4,"GA, Gastrodermal cell"
1_CELL142_N4,NE_1,"NE, Neural cell"
1_CELL143_N4,GA_3,"GA, Gastrodermal cell"
1_CELL145_N2,SG_1,"SG, Stem/Germline cell"
1_CELL146_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL148_N2,GL_1,"GL, Gland cell"
1_CELL151_N2,GA_3,"GA, Gastrodermal cell"
1_CELL159_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL161_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL162_N2,GA_4,"GA, Gastrodermal cell"
1_CELL167_N2,NE_3,"NE, Neural cell"
1_CELL168_N1,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL171_N2,NE_2,"NE, Neural cell"
1_CELL173_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL175_N3,GA_1,"GA, Gastrodermal cell"
1_CELL178_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL179_N3,GA_2,"GA, Gastrodermal cell"
1_CELL180_N3,SG_1,"SG, Stem/Germline cell"
1_CELL181_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL182_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL184_N2,NE_1,"NE, Neural cell"
1_CELL185_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL188_N4,NE_1,"NE, Neural cell"
1_CELL189_N3,NE_4,"NE, Neural cell"
1_CELL191_N2,GA_5,"GA, Gastrodermal cell"
1_CELL192_N2,GA_1,"GA, Gastrodermal cell"
1_CELL196_N3,GA_1,"GA, Gastrodermal cell"
1_CELL201_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL202_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL204_N3,NE_4,"NE, Neural cell"
1_CELL205_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL206_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL212_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL215_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL221_N3,GL_2,"GL, Gland cell"
1_CELL222_N2,GA_2,"GA, Gastrodermal cell"
1_CELL226_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL228_N5,EM_2,"EM, Epidermal/Muscle cell"
1_CELL235_N2,GA_4,"GA, Gastrodermal cell"
1_CELL238_N3,SG_1,"SG, Stem/Germline cell"
1_CELL240_N3,GA_1,"GA, Gastrodermal cell"
1_CELL241_N2,SG_1,"SG, Stem/Germline cell"
1_CELL243_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL244_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL248_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL249_N2,GL_1,"GL, Gland cell"
1_CELL251_N2,GA_1,"GA, Gastrodermal cell"
1_CELL255_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL257_N2,SG_2,"SG, Stem/Germline cell"
1_CELL258_N2,GA_1,"GA, Gastrodermal cell"
1_CELL260_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL264_N4,HA,"HA, Hair cell"
1_CELL266_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL268_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL270_N2,GA_2,"GA, Gastrodermal cell"
1_CELL271_N3,GA_4,"GA, Gastrodermal cell"
1_CELL273_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL274_N2,GA_2,"GA, Gastrodermal cell"
1_CELL275_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL276_N3,GA_2,"GA, Gastrodermal cell"
1_CELL279_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL281_N2,GA_1,"GA, Gastrodermal cell"
1_CELL282_N6,GA_1,"GA, Gastrodermal cell"
1_CELL283_N4,GL_2,"GL, Gland cell"
1_CELL284_N3,SG_2,"SG, Stem/Germline cell"
1_CELL286_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL289_N4,NE_1,"NE, Neural cell"
1_CELL296_N2,HA,"HA, Hair cell"
1_CELL297_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL301_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL304_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL305_N3,NE_1,"NE, Neural cell"
1_CELL308_N2,GA_1,"GA, Gastrodermal cell"
1_CELL310_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL311_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL312_N2,NE_1,"NE, Neural cell"
1_CELL314_N3,GA_1,"GA, Gastrodermal cell"
1_CELL315_N4,SG_1,"SG, Stem/Germline cell"
1_CELL316_N5,HA,"HA, Hair cell"
1_CELL317_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL320_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL321_N2,GA_2,"GA, Gastrodermal cell"
1_CELL322_N2,GA_3,"GA, Gastrodermal cell"
1_CELL323_N1,GA_3,"GA, Gastrodermal cell"
1_CELL326_N3,GA_1,"GA, Gastrodermal cell"
1_CELL327_N3,NE_2,"NE, Neural cell"
1_CELL328_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL330_N5,HA,"HA, Hair cell"
1_CELL331_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL333_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL335_N2,NE_1,"NE, Neural cell"
1_CELL337_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL338_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL339_N1,EM_3,"EM, Epidermal/Muscle cell"
1_CELL341_N3,GA_3,"GA, Gastrodermal cell"
1_CELL342_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL344_N3,GA_5,"GA, Gastrodermal cell"
1_CELL345_N4,GA_2,"GA, Gastrodermal cell"
1_CELL346_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL347_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL348_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL349_N1,SG_1,"SG, Stem/Germline cell"
1_CELL351_N2,NE_1,"NE, Neural cell"
1_CELL352_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL353_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL357_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL358_N3,NE_3,"NE, Neural cell"
1_CELL359_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL364_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL365_N3,GA_1,"GA, Gastrodermal cell"
1_CELL366_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL367_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL368_N3,NE_2,"NE, Neural cell"
1_CELL371_N2,HA,"HA, Hair cell"
1_CELL373_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL377_N3,GL_1,"GL, Gland cell"
1_CELL381_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL382_N5,EM_3,"EM, Epidermal/Muscle cell"
1_CELL383_N2,GA_4,"GA, Gastrodermal cell"
1_CELL386_N5,NE_3,"NE, Neural cell"
1_CELL387_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL389_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL390_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL392_N4,GA_1,"GA, Gastrodermal cell"
1_CELL393_N4,GA_1,"GA, Gastrodermal cell"
1_CELL396_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL400_N3,NE_1,"NE, Neural cell"
1_CELL402_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL405_N2,NE_2,"NE, Neural cell"
1_CELL407_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL409_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL410_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL411_N4,GA_4,"GA, Gastrodermal cell"
1_CELL412_N4,GA_2,"GA, Gastrodermal cell"
1_CELL413_N2,SG_3,"SG, Stem/Germline cell"
1_CELL416_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL417_N3,NE_1,"NE, Neural cell"
1_CELL418_N2,SG_1,"SG, Stem/Germline cell"
1_CELL419_N3,HA,"HA, Hair cell"
1_CELL420_N2,GA_4,"GA, Gastrodermal cell"
1_CELL421_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL423_N3,NE_3,"NE, Neural cell"
1_CELL424_N3,HA,"HA, Hair cell"
1_CELL425_N2,NE_1,"NE, Neural cell"
1_CELL426_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL427_N3,GA_2,"GA, Gastrodermal cell"
1_CELL430_N2,NE_3,"NE, Neural cell"
1_CELL433_N3,NE_3,"NE, Neural cell"
1_CELL434_N4,GA_1,"GA, Gastrodermal cell"
1_CELL437_N2,HA,"HA, Hair cell"
1_CELL438_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL443_N6,GL_1,"GL, Gland cell"
1_CELL446_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL447_N3,GA_2,"GA, Gastrodermal cell"
1_CELL450_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL453_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL455_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL458_N1,HA,"HA, Hair cell"
1_CELL459_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL465_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL469_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL471_N2,GA_1,"GA, Gastrodermal cell"
1_CELL472_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL475_N2,GA_3,"GA, Gastrodermal cell"
1_CELL476_N3,NE_3,"NE, Neural cell"
1_CELL480_N2,GA_1,"GA, Gastrodermal cell"
1_CELL481_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL484_N3,NE_1,"NE, Neural cell"
1_CELL486_N3,GA_1,"GA, Gastrodermal cell"
1_CELL489_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL490_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL491_N3,SG_1,"SG, Stem/Germline cell"
1_CELL492_N4,GA_1,"GA, Gastrodermal cell"
1_CELL493_N3,GA_4,"GA, Gastrodermal cell"
1_CELL494_N2,NE_1,"NE, Neural cell"
1_CELL495_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL500_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL501_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL503_N2,GL_1,"GL, Gland cell"
1_CELL505_N3,GA_2,"GA, Gastrodermal cell"
1_CELL507_N2,GA_1,"GA, Gastrodermal cell"
1_CELL508_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL509_N3,GA_2,"GA, Gastrodermal cell"
1_CELL511_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL512_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL517_N2,GA_1,"GA, Gastrodermal cell"
1_CELL518_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL519_N4,NE_4,"NE, Neural cell"
1_CELL522_N2,NE_4,"NE, Neural cell"
1_CELL523_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL526_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL527_N3,NE_1,"NE, Neural cell"
1_CELL529_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL530_N3,GL_2,"GL, Gland cell"
1_CELL531_N2,NE_3,"NE, Neural cell"
1_CELL535_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL537_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL538_N2,NE_1,"NE, Neural cell"
1_CELL539_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL545_N3,NE_2,"NE, Neural cell"
1_CELL546_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL547_N3,GA_4,"GA, Gastrodermal cell"
1_CELL548_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL550_N2,GL_1,"GL, Gland cell"
1_CELL551_N3,NE_3,"NE, Neural cell"
1_CELL553_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL555_N3,GA_4,"GA, Gastrodermal cell"
1_CELL557_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL558_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL559_N3,SG_4,"SG, Stem/Germline cell"
1_CELL560_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL561_N2,GA_4,"GA, Gastrodermal cell"
1_CELL563_N3,NE_1,"NE, Neural cell"
1_CELL565_N2,GA_1,"GA, Gastrodermal cell"
1_CELL567_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL569_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL570_N2,GA_4,"GA, Gastrodermal cell"
1_CELL571_N2,NE_1,"NE, Neural cell"
1_CELL572_N5,NE_4,"NE, Neural cell"
1_CELL575_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL577_N2,GA_1,"GA, Gastrodermal cell"
1_CELL578_N3,GA_2,"GA, Gastrodermal cell"
1_CELL580_N2,NE_4,"NE, Neural cell"
1_CELL582_N2,SG_1,"SG, Stem/Germline cell"
1_CELL584_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL585_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL586_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL589_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL590_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL592_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL593_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL594_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL595_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL596_N2,GA_1,"GA, Gastrodermal cell"
1_CELL598_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL601_N3,GA_1,"GA, Gastrodermal cell"
1_CELL605_N2,NE_1,"NE, Neural cell"
1_CELL606_N4,GA_4,"GA, Gastrodermal cell"
1_CELL607_N4,HA,"HA, Hair cell"
1_CELL608_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL610_N2,GA_1,"GA, Gastrodermal cell"
1_CELL611_N2,SG_3,"SG, Stem/Germline cell"
1_CELL613_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL615_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL617_N3,GA_1,"GA, Gastrodermal cell"
1_CELL618_N4,SG_2,"SG, Stem/Germline cell"
1_CELL619_N3,HA,"HA, Hair cell"
1_CELL620_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL621_N3,GL_1,"GL, Gland cell"
1_CELL622_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL623_N2,HA,"HA, Hair cell"
1_CELL624_N4,GA_4,"GA, Gastrodermal cell"
1_CELL625_N3,GA_1,"GA, Gastrodermal cell"
1_CELL628_N2,NE_4,"NE, Neural cell"
1_CELL629_N3,GA_1,"GA, Gastrodermal cell"
1_CELL636_N2,GA_3,"GA, Gastrodermal cell"
1_CELL637_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL638_N2,GA_1,"GA, Gastrodermal cell"
1_CELL640_N2,GL_1,"GL, Gland cell"
1_CELL641_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL643_N2,GL_2,"GL, Gland cell"
1_CELL645_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL646_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL647_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL649_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL651_N3,SG_1,"SG, Stem/Germline cell"
1_CELL652_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL656_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL658_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL662_N4,GL_1,"GL, Gland cell"
1_CELL663_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL665_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL666_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL668_N3,GL_1,"GL, Gland cell"
1_CELL669_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL670_N3,GL_1,"GL, Gland cell"
1_CELL671_N2,GA_2,"GA, Gastrodermal cell"
1_CELL672_N3,HA,"HA, Hair cell"
1_CELL676_N2,NE_4,"NE, Neural cell"
1_CELL679_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL680_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL681_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL682_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL683_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL686_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL688_N4,GA_4,"GA, Gastrodermal cell"
1_CELL691_N4,GA_5,"GA, Gastrodermal cell"
1_CELL692_N2,GA_1,"GA, Gastrodermal cell"
1_CELL694_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL695_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL697_N2,GA_1,"GA, Gastrodermal cell"
1_CELL699_N3,SG_1,"SG, Stem/Germline cell"
1_CELL700_N3,SG_2,"SG, Stem/Germline cell"
1_CELL701_N2,GA_2,"GA, Gastrodermal cell"
1_CELL702_N4,SG_1,"SG, Stem/Germline cell"
1_CELL704_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL705_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL706_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL707_N8,EM_2,"EM, Epidermal/Muscle cell"
1_CELL708_N3,GA_2,"GA, Gastrodermal cell"
1_CELL709_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL710_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL711_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL714_N5,GA_2,"GA, Gastrodermal cell"
1_CELL719_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL720_N3,GA_4,"GA, Gastrodermal cell"
1_CELL721_N2,GL_1,"GL, Gland cell"
1_CELL722_N4,GA_2,"GA, Gastrodermal cell"
1_CELL723_N2,GA_2,"GA, Gastrodermal cell"
1_CELL725_N2,NE_2,"NE, Neural cell"
1_CELL728_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL729_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL735_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL736_N3,SG_3,"SG, Stem/Germline cell"
1_CELL739_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL742_N2,GL_2,"GL, Gland cell"
1_CELL744_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL745_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL746_N1,SG_1,"SG, Stem/Germline cell"
1_CELL747_N3,GA_1,"GA, Gastrodermal cell"
1_CELL748_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL751_N3,HA,"HA, Hair cell"
1_CELL752_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL755_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL756_N2,NE_1,"NE, Neural cell"
1_CELL758_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL760_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL761_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL762_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL763_N3,GA_1,"GA, Gastrodermal cell"
1_CELL764_N2,GA_1,"GA, Gastrodermal cell"
1_CELL767_N3,GL_3,"GL, Gland cell"
1_CELL776_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL779_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL781_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL782_N3,GA_1,"GA, Gastrodermal cell"
1_CELL783_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL784_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL785_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL789_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL792_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL794_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL797_N3,NE_1,"NE, Neural cell"
1_CELL798_N2,SG_2,"SG, Stem/Germline cell"
1_CELL801_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL802_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL803_N4,GA_4,"GA, Gastrodermal cell"
1_CELL804_N2,GA_2,"GA, Gastrodermal cell"
1_CELL805_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL806_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL810_N4,GA_2,"GA, Gastrodermal cell"
1_CELL811_N3,NE_2,"NE, Neural cell"
1_CELL812_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL813_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL815_N3,SG_3,"SG, Stem/Germline cell"
1_CELL816_N2,GA_5,"GA, Gastrodermal cell"
1_CELL817_N1,GA_1,"GA, Gastrodermal cell"
1_CELL819_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL820_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL821_N2,GA_1,"GA, Gastrodermal cell"
1_CELL823_N2,NE_3,"NE, Neural cell"
1_CELL826_N5,HA,"HA, Hair cell"
1_CELL828_N4,HA,"HA, Hair cell"
1_CELL831_N3,NE_3,"NE, Neural cell"
1_CELL834_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL837_N2,GL_2,"GL, Gland cell"
1_CELL840_N3,NE_1,"NE, Neural cell"
1_CELL842_N2,GA_3,"GA, Gastrodermal cell"
1_CELL846_N3,SG_2,"SG, Stem/Germline cell"
1_CELL849_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL853_N2,GA_2,"GA, Gastrodermal cell"
1_CELL854_N2,NE_2,"NE, Neural cell"
1_CELL859_N2,GA_2,"GA, Gastrodermal cell"
1_CELL860_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL861_N2,HA,"HA, Hair cell"
1_CELL863_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL864_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL866_N2,NE_4,"NE, Neural cell"
1_CELL868_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL869_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL870_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL873_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL874_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL878_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL880_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL881_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL882_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL883_N2,SG_3,"SG, Stem/Germline cell"
1_CELL884_N3,EM_2,"EM, Epidermal/Muscle cell"
