,Sub_cell_type,Broad_cell_type
3_CELL2833_N4,NE_3,"NE, Neural cell"
3_CELL2835_N1,NE_1,"NE, Neural cell"
3_CELL2837_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2838_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2841_N3,GL_2,"GL, Gland cell"
3_CELL2843_N3,GA_2,"GA, Gastrodermal cell"
3_CELL2844_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2845_N2,HA,"HA, Hair cell"
3_CELL2846_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2847_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2849_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2850_N3,HA,"HA, Hair cell"
3_CELL2851_N2,GA_3,"GA, Gastrodermal cell"
3_CELL2854_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2858_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2859_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2861_N5,GA_2,"GA, Gastrodermal cell"
3_CELL2862_N4,CN_4,"CN, Cnidocytes/Nematocyte cell"
3_CELL2863_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2864_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2865_N3,NE_3,"NE, Neural cell"
3_CELL2867_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2869_N4,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2870_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2873_N4,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2874_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2877_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2879_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2882_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2883_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2890_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2891_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2894_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2895_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2896_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2900_N2,GL_1,"GL, Gland cell"
3_CELL2903_N3,GA_2,"GA, Gastrodermal cell"
3_CELL2904_N2,GA_4,"GA, Gastrodermal cell"
3_CELL2905_N2,SG_1,"SG, Stem/Germline cell"
3_CELL2906_N3,GA_3,"GA, Gastrodermal cell"
3_CELL2912_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2913_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2914_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2915_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2920_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2927_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2933_N2,NE_2,"NE, Neural cell"
3_CELL2936_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
3_CELL2937_N2,GA_1,"GA, Gastrodermal cell"
3_CELL2938_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2943_N3,GA_1,"GA, Gastrodermal cell"
3_CELL2944_N2,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2950_N3,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2954_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
3_CELL2956_N3,HA,"HA, Hair cell"
3_CELL2960_N2,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2963_N3,EM_1,"EM, Epidermal/Muscle cell"
3_CELL2964_N3,GA_2,"GA, Gastrodermal cell"
3_CELL2965_N2,HA,"HA, Hair cell"
3_CELL2966_N2,EM_2,"EM, Epidermal/Muscle cell"
3_CELL2970_N2,GA_2,"GA, Gastrodermal cell"
3_CELL2972_N3,EM_3,"EM, Epidermal/Muscle cell"
3_CELL2973_N2,SG_1,"SG, Stem/Germline cell"
