"","tSNE_1","tSNE_2"
"1_CELL493_N3",-25.9977945511925,-28.6691100755926
"1_CELL494_N2",23.9977669699589,3.94114171341512
"1_CELL495_N2",10.6832616756253,-9.95334819003655
"1_CELL500_N3",6.07701940477321,6.206311589189
"1_CELL501_N3",30.8404286756026,-29.0581795441514
"1_CELL503_N2",-29.0591619012575,0.30852691660986
"1_CELL505_N3",-5.94473957117958,-33.449151054013
"1_CELL507_N2",-23.3889033348471,-9.33484711814564
"1_CELL508_N2",-3.22125971100416,29.7162106199344
"1_CELL509_N3",-15.9540758206146,-30.7845956654045
"1_CELL511_N2",-3.26686844371784,-12.2332431647204
"1_CELL512_N1",10.1091291641107,-13.934424087973
"1_CELL517_N2",-16.3359493342164,-21.2100497047708
"1_CELL518_N3",-5.4068730739261,5.35030980727679
"1_CELL519_N4",14.5197329496335,-2.58794787703642
"1_CELL522_N2",20.1138150886218,3.71507250432537
"1_CELL523_N2",-8.21709148098324,36.8326013594223
"1_CELL526_N2",-8.35724560605083,-8.86722324422323
"1_CELL527_N3",2.71870792950582,-25.0650033380732
"1_CELL529_N3",-0.30770072690901,11.9228466665081
"1_CELL530_N3",-14.0455659295518,11.8441261821825
"1_CELL531_N2",-17.6172408653635,23.1886948884528
"1_CELL535_N4",1.34900729353137,35.0635300373879
"1_CELL537_N2",44.8692386344869,-3.93317928654983
"1_CELL538_N2",28.047294110109,10.8457395731998
"1_CELL539_N2",24.4395852439372,-30.7388704361566
"1_CELL545_N3",-1.78013784463869,9.44482852822213
"1_CELL546_N5",13.2022359582838,-11.9300022102844
"1_CELL547_N3",-25.868403331572,-25.1364990202547
"1_CELL548_N4",-2.49065534338766,-3.57162820685152
"1_CELL550_N2",-31.875002583238,4.94137652775682
"1_CELL551_N3",-18.9541476099052,25.2610445966035
"1_CELL553_N2",12.7287617750555,-30.6981856627875
"1_CELL555_N3",-28.5939420664503,-28.9659318620624
"1_CELL557_N2",-4.69451328347254,4.91036608304334
"1_CELL558_N3",8.631993783145,-30.0690806351955
"1_CELL559_N3",-36.0475718560499,20.760233275314
"1_CELL560_N2",1.81172498944752,-1.85829179105734
"1_CELL561_N2",-28.9056870968498,-27.419499447334
"1_CELL563_N3",-8.76775832237263,-1.45978429144941
"1_CELL565_N2",-18.9445736836434,-13.8891847431496
"1_CELL567_N2",37.5296340709991,11.9413997997942
"1_CELL569_N1",-6.09053034473758,21.7173612505057
"1_CELL570_N2",-23.412439291999,-19.1435763363631
"1_CELL571_N2",23.5117388435152,1.82491706441649
"1_CELL572_N5",17.5986297828832,-0.590808624181201
"1_CELL575_N2",10.4222675717389,18.3213799016194
"1_CELL577_N2",-18.7006790959609,-10.3343809483971
"1_CELL578_N3",-7.85503345710488,-30.6249842616531
"1_CELL580_N2",16.1144926032103,1.66093519824791
"1_CELL582_N2",-21.8616534925755,-2.5987246576502
"1_CELL584_N3",13.1935813744799,-12.146167730081
"1_CELL585_N3",13.0855749207774,-21.9164088291749
"1_CELL586_N2",-6.52744545123283,-3.9445439884504
"1_CELL589_N2",4.40561076090323,-27.732068174956
"1_CELL590_N2",4.21549216552611,-14.6605812511649
"1_CELL592_N2",38.5954992409558,-10.2141351121461
"1_CELL593_N2",-7.76889166048223,-5.69559474868278
"1_CELL594_N3",3.10856129054607,-1.46593078597463
"1_CELL595_N4",5.66585047905782,8.68321226314628
"1_CELL596_N2",-9.55279366558164,-17.1997537687638
"1_CELL598_N2",2.57208334997299,3.96702984807244
"1_CELL601_N3",-16.2890764891481,-13.7752003426691
"1_CELL605_N2",2.9184075484661,-24.8957963975562
"1_CELL606_N4",-26.3711771108273,-20.4580044968555
"1_CELL607_N4",28.7379044037747,26.9464257038995
"1_CELL608_N3",-5.33694084465539,-6.61147685112238
"1_CELL610_N2",-11.52256014274,-8.11438613461418
"1_CELL611_N2",-32.4640909980656,-10.2455387917271
"1_CELL613_N3",5.89791602463473,6.29321865411182
"1_CELL615_N2",23.8132448714369,-32.486062874412
"1_CELL617_N3",-17.8369980031297,-12.4176028122461
"1_CELL618_N4",-33.9826034275923,13.3721237578166
"1_CELL619_N3",12.0761280256686,24.1292037001443
"1_CELL620_N2",-0.895165833996495,-6.41999425913817
"1_CELL621_N3",-27.7131020762126,-0.0861949493227141
"1_CELL622_N2",9.95618356924418,8.54550558201158
"1_CELL623_N2",16.4230157214892,32.3553592503449
"1_CELL624_N4",-24.7457196058556,-27.4875468110468
"1_CELL625_N3",-13.3981110530878,-7.56333505343131
"1_CELL628_N2",19.6038364851626,-1.34178311822169
"1_CELL629_N3",-26.4340829363551,-14.1743771703255
"1_CELL636_N2",-41.404627464376,1.40728562544604
"1_CELL637_N2",10.5809996459803,-29.4747537948599
"1_CELL638_N2",-18.3821507333636,-17.4589554996201
"1_CELL640_N2",-28.4642100871076,4.04841187129494
"1_CELL641_N3",-1.71796313906401,-11.6536618386312
"1_CELL643_N2",-8.43259724595314,12.8503642090875
"1_CELL645_N2",-0.356710080739761,33.2520538545907
"1_CELL646_N2",5.60733986388199,-15.1714042099813
"1_CELL647_N5",1.92695461485318,-5.09916577660975
"1_CELL649_N4",0.443678866911604,31.8831881945291
"1_CELL651_N3",-20.8457822496889,-2.19344242909453
"1_CELL652_N4",-12.1385825869155,-2.9367531894896
"1_CELL656_N2",9.9707549481218,-29.439858091648
"1_CELL658_N2",-2.80988869605272,1.3197611906465
"1_CELL662_N4",-27.7873523415615,4.73375334360973
"1_CELL663_N3",4.64392969251591,12.3743742174496
"1_CELL665_N3",2.20455910182082,-16.3464812359818
"1_CELL666_N3",0.988881149116804,-14.7153283261604
"1_CELL668_N3",-26.9903406334813,5.53666550652091
"1_CELL669_N2",3.9993474762506,8.74611412169104
"1_CELL670_N3",-28.0301714029766,1.52566539446656
"1_CELL671_N2",-15.4665669708714,-27.9940982985823
"1_CELL672_N3",22.2983062880501,30.3527818660858
"1_CELL676_N2",2.32564730223184,30.9210919682522
"1_CELL679_N3",-5.52599088715405,-10.0722580557172
"1_CELL680_N2",-2.12963603575226,-8.56378792382188
"1_CELL681_N4",-7.86602186752839,2.91803129805805
"1_CELL682_N4",3.12845837949012,13.2320616679504
"1_CELL683_N2",6.31558743696988,8.09889783323798
"1_CELL686_N3",12.3316787410836,-16.2336199190784
"1_CELL688_N4",-21.8140379615061,-27.6426491892674
"1_CELL691_N4",-28.2245565947062,25.3843403862211
"1_CELL692_N2",-9.18562593768871,-5.73833876511338
"1_CELL694_N3",19.5129895388494,-30.2176131448509
"1_CELL695_N2",32.1814303547355,-10.1466404726408
"1_CELL697_N2",-11.9721540700189,-3.73881305317955
"1_CELL699_N3",-15.8768607820085,5.32498250050359
"1_CELL700_N3",-26.2636211839906,11.8989659541766
"1_CELL701_N2",-17.5238845518475,-28.3851135034411
"1_CELL702_N4",-20.1103808235381,9.23108713910119
"1_CELL704_N3",13.2444679645634,-9.04218966225041
"1_CELL705_N2",36.1142528105389,3.94745577922781
"1_CELL706_N4",5.35959507275627,7.79679337995049
"1_CELL707_N8",-7.99735710127441,38.3260201162674
"1_CELL708_N3",-10.489360749198,-25.4793505884226
"1_CELL709_N2",11.9727878922491,14.9641723304665
"1_CELL710_N3",-2.52385880257456,-9.03618164585131
"1_CELL711_N3",34.0464742873923,4.73766640871449
"1_CELL714_N5",-11.3700524650535,-24.1430867902594
"1_CELL719_N2",2.10017233935368,2.12953594058002
"1_CELL720_N3",-27.5703652489039,-28.8000348000876
"1_CELL721_N2",-28.620026410311,2.43482687829769
"1_CELL722_N4",-18.0937066256042,-29.9006614032557
"1_CELL723_N2",-8.7078966629486,-16.2605277754249
"1_CELL725_N2",29.2696688622683,-15.8619175207278
"1_CELL728_N2",-10.5890768595243,-1.77618535394945
"1_CELL729_N2",-0.358327080438173,-4.82209499664629
"1_CELL735_N2",16.1856788004836,-22.5514069601884
"1_CELL736_N3",-32.9204504346608,-10.3680889064904
"1_CELL739_N2",-3.85310558553889,9.47099015362236
"1_CELL742_N2",-15.4390073239523,10.476275743
"1_CELL744_N4",2.67936156229818,-18.0055206532808
"1_CELL745_N4",2.77576222617904,-8.6446691651193
"1_CELL746_N1",-22.1695867975587,-3.80796568073429
"1_CELL747_N3",-17.2468455734028,-7.8362408459258
"1_CELL748_N2",0.936971465106268,-5.72162926973608
"1_CELL751_N3",23.9448794847287,19.4761816789416
"1_CELL752_N2",9.04441141018293,6.40964974809097
"1_CELL755_N4",1.68371962639894,21.4987844908174
"1_CELL756_N2",22.7786773073032,11.4990719057034
"1_CELL758_N3",0.395094842876607,-20.5472688605483
"1_CELL760_N4",45.8979864072723,-9.26260879279921
"1_CELL761_N3",-13.460722416622,29.93466476953
"1_CELL762_N4",-6.94978704933235,-16.710011878486
"1_CELL763_N3",-18.4847948335219,-13.5983673863955
"1_CELL764_N2",-14.8219348187558,-4.89924322812576
"1_CELL767_N3",9.8059928854698,40.508871531922
"1_CELL776_N2",-7.30693820712494,29.4308997646291
"1_CELL779_N3",-0.100772553444378,15.793546153454
"1_CELL781_N2",4.99721110363703,-0.867535467109985
"1_CELL782_N3",-16.3900633696742,-17.9490588888908
"1_CELL783_N3",35.1625965979875,2.2832292999374
"1_CELL784_N2",10.4620602350113,-30.1923955874261
"1_CELL785_N3",-4.68730245020761,36.2962234820437
"1_CELL789_N2",-4.32430783850636,22.5406929084688
"1_CELL792_N1",9.91015217247775,-6.85537646311116
"1_CELL794_N3",15.0809478897128,14.186926509495
"1_CELL797_N3",24.9925040282133,13.3422461905131
"1_CELL798_N2",-25.5047364339756,16.6586336416629
"1_CELL801_N3",-0.472171989652106,-2.10492351314319
"1_CELL802_N3",-3.51307364651807,-4.42051745314548
"1_CELL803_N4",-12.5545725506962,-20.5930543542054
"1_CELL804_N2",-8.74351278147035,-18.2381494184504
"1_CELL805_N5",-0.0305705018790481,-5.31529287905538
"1_CELL806_N3",2.05482835787873,15.6391649972512
"1_CELL810_N4",-11.1280511110837,-22.0038951379079
"1_CELL811_N3",22.9080692291768,-10.6371406400467
"1_CELL812_N2",37.8129350631294,-1.12952159409263
"1_CELL813_N4",-9.18344043121118,29.43279133737
"1_CELL815_N3",-36.2461638525035,-7.67761455665166
"1_CELL816_N2",-29.2040005230684,25.3129007504431
"1_CELL817_N1",-19.855560155757,-8.01578519517213
"1_CELL819_N2",8.47659385028721,7.81735191799598
