"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL312_N2","au1",5413,1611,"1",0,"7","7"
"1_CELL314_N3","au1",1564,623,"1",0,"3","3"
"1_CELL315_N4","au1",2215,635,"1",0,"10","10"
"1_CELL316_N5","au1",3386,1370,"1",0,"6","6"
"1_CELL317_N3","au1",1526,578,"1",0,"4","4"
"1_CELL320_N3","au1",4969,1338,"1",0,"1","1"
"1_CELL321_N2","au1",2299,757,"1",0,"5","5"
"1_CELL322_N2","au1",2353,810,"1",0,"12","12"
"1_CELL323_N1","au1",1191,474,"1",0,"12","12"
"1_CELL326_N3","au1",2222,665,"1",0,"3","3"
"1_CELL327_N3","au1",1863,788,"1",0,"8","8"
"1_CELL328_N3","au1",2371,771,"1",0,"0","0"
"1_CELL330_N5","au1",3724,1209,"1",0,"6","6"
"1_CELL331_N2","au1",1839,734,"1",0,"1","1"
"1_CELL333_N3","au1",1174,534,"1",0,"0","0"
"1_CELL335_N2","au1",5057,1382,"1",0,"7","7"
"1_CELL337_N3","au1",2601,913,"1",0,"0","0"
"1_CELL338_N3","au1",2828,922,"1",0,"1","1"
"1_CELL339_N1","au1",1158,510,"1",0,"2","2"
"1_CELL341_N3","au1",3160,939,"1",0,"12","12"
"1_CELL342_N3","au1",3567,1213,"1",0,"1","1"
"1_CELL344_N3","au1",2458,837,"1",0,"21","21"
"1_CELL345_N4","au1",1680,708,"1",0,"5","5"
"1_CELL346_N4","au1",2693,927,"1",0,"0","0"
"1_CELL347_N2","au1",1182,599,"1",0,"0","0"
"1_CELL348_N2","au1",3154,922,"1",0,"2","2"
"1_CELL349_N1","au1",2813,886,"1",0,"10","10"
"1_CELL351_N2","au1",1382,734,"1",0,"7","7"
"1_CELL352_N3","au1",2559,821,"1",0,"0","0"
"1_CELL353_N3","au1",1879,651,"1",0,"0","0"
"1_CELL357_N2","au1",3140,827,"1",0,"1","1"
"1_CELL358_N3","au1",6578,1617,"1",0,"9","9"
"1_CELL359_N3","au1",1633,700,"1",0,"0","0"
"1_CELL364_N2","au1",1891,655,"1",0,"11","11"
"1_CELL365_N3","au1",1518,627,"1",0,"3","3"
"1_CELL366_N3","au1",2208,651,"1",0,"0","0"
"1_CELL367_N4","au1",1894,664,"1",0,"0","0"
"1_CELL368_N3","au1",5756,1345,"1",0,"8","8"
"1_CELL371_N2","au1",1854,717,"1",0,"6","6"
"1_CELL373_N3","au1",3454,1039,"1",0,"1","1"
"1_CELL377_N3","au1",3979,843,"1",0,"14","14"
"1_CELL381_N3","au1",1471,534,"1",0,"16","16"
"1_CELL382_N5","au1",2765,765,"1",0,"2","2"
"1_CELL383_N2","au1",3204,826,"1",0,"13","13"
"1_CELL386_N5","au1",2380,776,"1",0,"9","9"
"1_CELL387_N2","au1",1576,633,"1",0,"0","0"
"1_CELL389_N2","au1",1018,456,"1",0,"2","2"
"1_CELL390_N3","au1",10734,1884,"1",0,"4","4"
"1_CELL392_N4","au1",2973,955,"1",0,"3","3"
"1_CELL393_N4","au1",2982,878,"1",0,"3","3"
