"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"2_CELL3932_N3","au2",1526,537,"2",0,"3","3"
"2_CELL3935_N3","au2",1664,727,"2",0,"0","0"
"2_CELL3936_N3","au2",5885,1294,"2",0,"19","19"
"2_CELL3938_N2","au2",1367,466,"2",0,"15","15"
"2_CELL3939_N1","au2",2541,519,"2",0,"16","16"
"2_CELL3941_N3","au2",2287,749,"2",0,"1","1"
"2_CELL3942_N4","au2",3151,827,"2",0,"1","1"
"2_CELL3943_N3","au2",1708,669,"2",0,"1","1"
"2_CELL3946_N2","au2",1931,698,"2",0,"0","0"
"2_CELL3952_N3","au2",2477,911,"2",0,"2","2"
"2_CELL3953_N2","au2",2386,984,"2",0,"2","2"
"2_CELL3954_N2","au2",1930,718,"2",0,"8","8"
"2_CELL3956_N2","au2",1165,541,"2",0,"0","0"
"2_CELL3960_N2","au2",1624,658,"2",0,"20","20"
"2_CELL3962_N2","au2",2856,915,"2",0,"3","3"
"2_CELL3963_N2","au2",2443,756,"2",0,"9","9"
"2_CELL3967_N3","au2",2126,767,"2",0,"1","1"
"2_CELL3971_N2","au2",4364,1266,"2",0,"2","2"
"2_CELL3972_N2","au2",5047,1528,"2",0,"3","3"
"2_CELL3977_N2","au2",2340,722,"2",0,"2","2"
"2_CELL3980_N4","au2",2717,963,"2",0,"3","3"
"2_CELL3983_N2","au2",2006,763,"2",0,"8","8"
"2_CELL3984_N5","au2",4420,1020,"2",0,"4","4"
"2_CELL3985_N2","au2",1135,525,"2",0,"0","0"
"2_CELL3986_N4","au2",2362,882,"2",0,"14","14"
"2_CELL3988_N3","au2",6332,1108,"2",0,"0","0"
"2_CELL3991_N3","au2",6128,1897,"2",0,"6","6"
"2_CELL3992_N3","au2",3728,979,"2",0,"5","5"
"2_CELL3993_N3","au2",1873,877,"2",0,"9","9"
"2_CELL3994_N3","au2",4912,1211,"2",0,"9","9"
"2_CELL3998_N2","au2",1110,504,"2",0,"2","2"
"2_CELL4002_N3","au2",1624,634,"2",0,"3","3"
"2_CELL4004_N5","au2",4798,1286,"2",0,"1","1"
"2_CELL4005_N4","au2",6808,1347,"2",0,"4","4"
"2_CELL4006_N2","au2",5241,1515,"2",0,"5","5"
"2_CELL4007_N2","au2",1079,513,"2",0,"0","0"
"2_CELL4009_N4","au2",2757,943,"2",0,"0","0"
"2_CELL4010_N2","au2",1881,605,"2",0,"0","0"
"2_CELL4011_N3","au2",2257,653,"2",0,"0","0"
"2_CELL4012_N3","au2",1961,632,"2",0,"0","0"
"2_CELL4016_N2","au2",1098,491,"2",0,"3","3"
"2_CELL4022_N2","au2",2391,838,"2",0,"20","20"
"2_CELL4026_N2","au2",1815,673,"2",0,"13","13"
"2_CELL4030_N1","au2",1733,753,"2",0,"10","10"
"2_CELL4032_N2","au2",1830,567,"2",0,"5","5"
"2_CELL4035_N2","au2",2633,858,"2",0,"11","11"
"2_CELL4038_N2","au2",3502,1146,"2",0,"2","2"
"2_CELL4040_N2","au2",2929,886,"2",0,"9","9"
"2_CELL4041_N4","au2",5239,1298,"2",0,"1","1"
"2_CELL4042_N3","au2",1925,564,"2",0,"0","0"
"2_CELL4043_N2","au2",2754,760,"2",0,"0","0"
"2_CELL4044_N2","au2",3201,916,"2",0,"11","11"
"2_CELL4047_N2","au2",1811,694,"2",0,"7","7"
"2_CELL4050_N2","au2",7049,1687,"2",0,"12","12"
"2_CELL4052_N2","au2",2745,870,"2",0,"0","0"
"2_CELL4054_N3","au2",3095,919,"2",0,"0","0"
"2_CELL4055_N2","au2",3353,862,"2",0,"0","0"
"2_CELL4056_N2","au2",2782,820,"2",0,"0","0"
"2_CELL4058_N2","au2",1558,643,"2",0,"12","12"
"2_CELL4059_N2","au2",2712,797,"2",0,"2","2"
"2_CELL4060_N2","au2",2950,894,"2",0,"3","3"
"2_CELL4063_N3","au2",3618,1090,"2",0,"9","9"
"2_CELL4064_N2","au2",1718,668,"2",0,"2","2"
"2_CELL4066_N2","au2",1341,570,"2",0,"14","14"
"2_CELL4068_N2","au2",1771,532,"2",0,"4","4"
"2_CELL4070_N2","au2",1120,511,"2",0,"0","0"
"2_CELL4071_N2","au2",2784,906,"2",0,"2","2"
"2_CELL4072_N4","au2",3862,1103,"2",0,"10","10"
"2_CELL4079_N2","au2",4546,1216,"2",0,"2","2"
"2_CELL4081_N4","au2",7660,1959,"2",0,"7","7"
"2_CELL4082_N2","au2",1185,564,"2",0,"0","0"
"2_CELL4083_N2","au2",2581,770,"2",0,"3","3"
"2_CELL4086_N2","au2",2003,541,"2",0,"5","5"
"2_CELL4088_N2","au2",3191,861,"2",0,"11","11"
"2_CELL4092_N3","au2",7334,1697,"2",0,"11","11"
"2_CELL4093_N4","au2",2615,708,"2",0,"9","9"
"2_CELL4094_N2","au2",1279,638,"2",0,"0","0"
"2_CELL4095_N2","au2",1711,649,"2",0,"2","2"
"2_CELL4096_N3","au2",1722,606,"2",0,"20","20"
"2_CELL4100_N2","au2",1672,598,"2",0,"5","5"
"2_CELL4101_N3","au2",3500,1052,"2",0,"2","2"
"2_CELL4102_N5","au2",3157,931,"2",0,"10","10"
"2_CELL4103_N3","au2",2242,860,"2",0,"6","6"
"2_CELL4104_N4","au2",2416,760,"2",0,"10","10"
"2_CELL4106_N3","au2",2727,947,"2",0,"7","7"
"2_CELL4109_N4","au2",5818,1505,"2",0,"4","4"
"2_CELL4115_N4","au2",2039,680,"2",0,"4","4"
"2_CELL4119_N3","au2",1799,617,"2",0,"1","1"
"2_CELL4121_N2","au2",1706,662,"2",0,"0","0"
"2_CELL4123_N4","au2",3548,1147,"2",0,"12","12"
"2_CELL4124_N3","au2",7029,1696,"2",0,"4","4"
"2_CELL4131_N3","au2",1397,596,"2",0,"9","9"
"2_CELL4132_N5","au2",3485,1014,"2",0,"0","0"
"2_CELL4134_N2","au2",1829,707,"2",0,"17","17"
"2_CELL4136_N2","au2",4992,1137,"2",0,"6","6"
"2_CELL4137_N1","au2",1307,603,"2",0,"2","2"
"2_CELL4138_N2","au2",2155,743,"2",0,"13","13"
"2_CELL4140_N2","au2",1211,587,"2",0,"7","7"
"2_CELL4141_N2","au2",2005,656,"2",0,"5","5"
"2_CELL4147_N2","au2",2515,630,"2",0,"13","13"
"2_CELL4149_N1","au2",1634,451,"2",0,"11","11"
"2_CELL4151_N2","au2",2100,607,"2",0,"10","10"
"2_CELL4152_N2","au2",1331,601,"2",0,"8","8"
"2_CELL4155_N2","au2",1600,642,"2",0,"3","3"
"2_CELL4156_N4","au2",1739,614,"2",0,"9","9"
"2_CELL4159_N2","au2",2779,697,"2",0,"5","5"
"2_CELL4160_N2","au2",1886,526,"2",0,"0","0"
"2_CELL4165_N2","au2",1784,567,"2",0,"3","3"
"2_CELL4166_N2","au2",1291,532,"2",0,"2","2"
"2_CELL4171_N2","au2",1527,615,"2",0,"7","7"
"2_CELL4173_N3","au2",2406,841,"2",0,"8","8"
"2_CELL4175_N2","au2",1640,625,"2",0,"0","0"
"2_CELL4179_N2","au2",1375,527,"2",0,"8","8"
"2_CELL4181_N2","au2",1245,556,"2",0,"1","1"
"2_CELL4186_N2","au2",1214,575,"2",0,"0","0"
"2_CELL4187_N2","au2",1268,610,"2",0,"0","0"
"2_CELL4192_N2","au2",1344,572,"2",0,"3","3"
"2_CELL4194_N3","au2",8776,1648,"2",0,"1","1"
"2_CELL4195_N2","au2",2735,626,"2",0,"0","0"
"2_CELL4199_N3","au2",3223,978,"2",0,"0","0"
"2_CELL4204_N2","au2",2748,842,"2",0,"9","9"
"2_CELL4207_N3","au2",5500,1303,"2",0,"2","2"
"2_CELL4210_N2","au2",1717,710,"2",0,"2","2"
"2_CELL4212_N2","au2",1016,501,"2",0,"2","2"
"2_CELL4215_N3","au2",3284,1115,"2",0,"3","3"
"2_CELL4217_N3","au2",2251,802,"2",0,"6","6"
"2_CELL4221_N2","au2",1022,452,"2",0,"9","9"
"2_CELL4222_N2","au2",1089,545,"2",0,"0","0"
"2_CELL4224_N3","au2",2269,748,"2",0,"2","2"
"2_CELL4225_N2","au2",1962,626,"2",0,"0","0"
"2_CELL4226_N2","au2",2119,765,"2",0,"0","0"
"2_CELL4227_N2","au2",1384,581,"2",0,"2","2"
"2_CELL4230_N2","au2",1395,549,"2",0,"1","1"
"2_CELL4234_N2","au2",1832,658,"2",0,"0","0"
"2_CELL4238_N4","au2",1980,738,"2",0,"3","3"
"2_CELL4239_N2","au2",8330,1484,"2",0,"18","18"
"2_CELL4241_N2","au2",1849,502,"2",0,"0","0"
"2_CELL4242_N2","au2",2373,785,"2",0,"1","1"
"2_CELL4243_N2","au2",1270,541,"2",0,"2","2"
"2_CELL4251_N3","au2",1907,684,"2",0,"0","0"
"2_CELL4252_N4","au2",2506,786,"2",0,"0","0"
"2_CELL4254_N3","au2",2647,596,"2",0,"16","16"
"2_CELL4257_N2","au2",2451,614,"2",0,"4","4"
"2_CELL4259_N2","au2",2266,883,"2",0,"0","0"
"2_CELL4261_N4","au2",2883,972,"2",0,"4","4"
"2_CELL4262_N2","au2",7473,1680,"2",0,"10","10"
"2_CELL4263_N2","au2",2034,700,"2",0,"5","5"
"2_CELL4264_N2","au2",2345,580,"2",0,"17","17"
"2_CELL4267_N4","au2",6926,1070,"2",0,"19","19"
"2_CELL4269_N2","au2",1984,682,"2",0,"0","0"
"2_CELL4270_N3","au2",1380,589,"2",0,"5","5"
"2_CELL4271_N4","au2",5842,1241,"2",0,"1","1"
"2_CELL4275_N2","au2",3223,914,"2",0,"2","2"
"2_CELL4276_N2","au2",3277,997,"2",0,"10","10"
"2_CELL4278_N2","au2",1013,520,"2",0,"7","7"
"2_CELL4283_N3","au2",3341,875,"2",0,"10","10"
"2_CELL4284_N3","au2",1784,692,"2",0,"13","13"
"2_CELL4285_N5","au2",3581,1151,"2",0,"0","0"
"2_CELL4288_N2","au2",2686,770,"2",0,"0","0"
"2_CELL4289_N4","au2",2102,637,"2",0,"11","11"
"2_CELL4293_N2","au2",1426,574,"2",0,"3","3"
"2_CELL4294_N2","au2",1838,776,"2",0,"3","3"
"2_CELL4295_N4","au2",1838,603,"2",0,"0","0"
"2_CELL4296_N2","au2",1575,717,"2",0,"1","1"
"2_CELL4297_N2","au2",1649,530,"2",0,"15","15"
"2_CELL4299_N2","au2",2671,908,"2",0,"4","4"
"2_CELL4301_N3","au2",4833,1269,"2",0,"3","3"
"2_CELL4302_N3","au2",4800,1238,"2",0,"1","1"
"2_CELL4309_N3","au2",6064,1300,"2",0,"1","1"
"2_CELL4311_N3","au2",2768,1046,"2",0,"7","7"
"2_CELL4312_N2","au2",1930,597,"2",0,"2","2"
"2_CELL4315_N2","au2",1157,525,"2",0,"6","6"
"2_CELL4317_N4","au2",2264,596,"2",0,"4","4"
"2_CELL4320_N3","au2",1603,598,"2",0,"4","4"
"2_CELL4325_N3","au2",3063,1015,"2",0,"3","3"
"2_CELL4327_N2","au2",1789,742,"2",0,"6","6"
"2_CELL4329_N3","au2",4632,1254,"2",0,"8","8"
"2_CELL4333_N3","au2",3597,861,"2",0,"15","15"
"2_CELL4334_N3","au2",2415,869,"2",0,"10","10"
"2_CELL4335_N2","au2",1920,839,"2",0,"3","3"
"2_CELL4339_N2","au2",1258,523,"2",0,"15","15"
"2_CELL4345_N4","au2",2481,750,"2",0,"1","1"
"2_CELL4351_N2","au2",2161,699,"2",0,"10","10"
"2_CELL4352_N4","au2",4843,1383,"2",0,"14","14"
"2_CELL4360_N4","au2",2111,750,"2",0,"0","0"
"2_CELL4362_N2","au2",3196,958,"2",0,"3","3"
"2_CELL4364_N2","au2",1416,582,"2",0,"21","21"
"2_CELL4367_N4","au2",3423,1085,"2",0,"12","12"
"2_CELL4369_N2","au2",1934,643,"2",0,"10","10"
"2_CELL4371_N2","au2",3179,955,"2",0,"17","17"
"2_CELL4372_N2","au2",1603,481,"2",0,"20","20"
"2_CELL4373_N3","au2",1527,620,"2",0,"10","10"
"2_CELL4376_N5","au2",6369,1503,"2",0,"0","0"
"2_CELL4378_N2","au2",4350,1181,"2",0,"10","10"
"2_CELL4381_N2","au2",1417,611,"2",0,"10","10"
"2_CELL4382_N3","au2",3255,1029,"2",0,"8","8"
"2_CELL4384_N2","au2",1186,520,"2",0,"6","6"
"2_CELL4385_N2","au2",3442,819,"2",0,"5","5"
"2_CELL4386_N2","au2",2452,741,"2",0,"21","21"
"2_CELL4389_N3","au2",2407,809,"2",0,"10","10"
"2_CELL4392_N2","au2",2850,1067,"2",0,"8","8"
"2_CELL4394_N2","au2",1382,492,"2",0,"15","15"
"2_CELL4396_N2","au2",2840,962,"2",0,"7","7"
"2_CELL4397_N2","au2",2788,923,"2",0,"6","6"
"2_CELL4398_N3","au2",2017,774,"2",0,"3","3"
"2_CELL4400_N2","au2",1831,526,"2",0,"1","1"
"2_CELL4402_N4","au2",5813,1590,"2",0,"4","4"
"2_CELL4404_N2","au2",1169,517,"2",0,"7","7"
"2_CELL4406_N3","au2",1869,613,"2",0,"12","12"
"2_CELL4410_N2","au2",1069,391,"2",0,"23","23"
"2_CELL4411_N3","au2",5032,1357,"2",0,"0","0"
"2_CELL4417_N2","au2",2056,593,"2",0,"0","0"
"2_CELL4419_N3","au2",2364,601,"2",0,"0","0"
"2_CELL4420_N3","au2",1672,707,"2",0,"2","2"
"2_CELL4421_N2","au2",2288,864,"2",0,"3","3"
"2_CELL4427_N2","au2",2268,735,"2",0,"0","0"
"2_CELL4429_N2","au2",1225,444,"2",0,"4","4"
"2_CELL4430_N2","au2",1483,629,"2",0,"3","3"
"2_CELL4432_N2","au2",1358,623,"2",0,"3","3"
"2_CELL4434_N2","au2",4703,1148,"2",0,"8","8"
"2_CELL4435_N2","au2",1027,479,"2",0,"8","8"
"2_CELL4437_N2","au2",1953,756,"2",0,"2","2"
"2_CELL4438_N2","au2",2971,1013,"2",0,"1","1"
"2_CELL4443_N3","au2",1575,651,"2",0,"7","7"
"2_CELL4444_N1","au2",2494,814,"2",0,"2","2"
"2_CELL4445_N2","au2",2933,838,"2",0,"12","12"
"2_CELL4447_N2","au2",2307,891,"2",0,"20","20"
"2_CELL4448_N2","au2",1496,598,"2",0,"0","0"
"2_CELL4456_N3","au2",1584,715,"2",0,"2","2"
"2_CELL4457_N3","au2",4587,1298,"2",0,"9","9"
"2_CELL4460_N2","au2",1091,513,"2",0,"9","9"
"2_CELL4461_N3","au2",2119,637,"2",0,"2","2"
"2_CELL4464_N2","au2",1230,493,"2",0,"0","0"
"2_CELL4467_N2","au2",2575,718,"2",0,"1","1"
"2_CELL4469_N3","au2",4693,1133,"2",0,"0","0"
"2_CELL4470_N2","au2",1234,503,"2",0,"0","0"
"2_CELL4474_N4","au2",3367,861,"2",0,"4","4"
"2_CELL4475_N2","au2",1509,527,"2",0,"21","21"
"2_CELL4476_N2","au2",1422,702,"2",0,"7","7"
"2_CELL4479_N3","au2",3069,686,"2",0,"0","0"
"2_CELL4483_N2","au2",3810,1306,"2",0,"7","7"
"2_CELL4484_N4","au2",3621,926,"2",0,"3","3"
"2_CELL4488_N3","au2",1643,693,"2",0,"3","3"
"2_CELL4489_N2","au2",9140,1863,"2",0,"5","5"
"2_CELL4490_N4","au2",5804,1465,"2",0,"3","3"
"2_CELL4497_N2","au2",1755,680,"2",0,"6","6"
"2_CELL4499_N2","au2",2147,718,"2",0,"1","1"
"2_CELL4500_N3","au2",3383,945,"2",0,"10","10"
"2_CELL4501_N3","au2",1608,606,"2",0,"0","0"
"2_CELL4504_N3","au2",2348,649,"2",0,"0","0"
"2_CELL4507_N2","au2",1832,631,"2",0,"10","10"
"2_CELL4510_N3","au2",2145,705,"2",0,"9","9"
"2_CELL4515_N2","au2",2366,728,"2",0,"5","5"
"2_CELL4516_N3","au2",2331,818,"2",0,"3","3"
"2_CELL4519_N2","au2",12406,1943,"2",0,"16","16"
"2_CELL4521_N2","au2",1318,534,"2",0,"0","0"
"2_CELL4524_N4","au2",3110,775,"2",0,"5","5"
"2_CELL4526_N4","au2",2156,680,"2",0,"1","1"
"2_CELL4527_N1","au2",1819,620,"2",0,"1","1"
"2_CELL4529_N5","au2",4388,1245,"2",0,"0","0"
"2_CELL4530_N2","au2",1352,604,"2",0,"3","3"
"2_CELL4532_N4","au2",4483,1207,"2",0,"8","8"
"2_CELL4534_N4","au2",3322,1108,"2",0,"10","10"
"2_CELL4535_N2","au2",1326,629,"2",0,"2","2"
"2_CELL4536_N2","au2",1697,605,"2",0,"5","5"
"2_CELL4541_N2","au2",2407,826,"2",0,"5","5"
"2_CELL4546_N2","au2",1461,586,"2",0,"0","0"
"2_CELL4549_N2","au2",1525,702,"2",0,"3","3"
"2_CELL4550_N3","au2",3850,1177,"2",0,"0","0"
"2_CELL4551_N2","au2",2389,570,"2",0,"18","18"
"2_CELL4553_N2","au2",1438,622,"2",0,"10","10"
"2_CELL4557_N2","au2",1799,659,"2",0,"8","8"
"2_CELL4559_N2","au2",1938,718,"2",0,"1","1"
"2_CELL4560_N2","au2",1078,518,"2",0,"0","0"
"2_CELL4561_N3","au2",2051,719,"2",0,"1","1"
"2_CELL4564_N4","au2",2188,675,"2",0,"0","0"
"2_CELL4566_N3","au2",3065,859,"2",0,"0","0"
"2_CELL4567_N2","au2",2889,814,"2",0,"1","1"
"2_CELL4569_N2","au2",1307,588,"2",0,"5","5"
"2_CELL4570_N2","au2",1802,550,"2",0,"0","0"
"2_CELL4572_N2","au2",2985,854,"2",0,"17","17"
"2_CELL4573_N2","au2",1823,714,"2",0,"0","0"
"2_CELL4575_N2","au2",2356,785,"2",0,"2","2"
"2_CELL4580_N4","au2",7738,1527,"2",0,"6","6"
"2_CELL4581_N2","au2",1811,563,"2",0,"4","4"
"2_CELL4583_N2","au2",2554,1050,"2",0,"7","7"
"2_CELL4584_N5","au2",2327,724,"2",0,"0","0"
"2_CELL4588_N4","au2",1570,573,"2",0,"1","1"
"2_CELL4589_N2","au2",5330,823,"2",0,"19","19"
"2_CELL4591_N2","au2",1785,615,"2",0,"0","0"
"2_CELL4592_N2","au2",1843,675,"2",0,"0","0"
"2_CELL4593_N2","au2",1848,535,"2",0,"0","0"
"2_CELL4594_N2","au2",2194,652,"2",0,"13","13"
"2_CELL4597_N2","au2",1612,618,"2",0,"5","5"
"2_CELL4599_N2","au2",12109,1862,"2",0,"5","5"
"2_CELL4600_N3","au2",2267,693,"2",0,"0","0"
"2_CELL4602_N2","au2",1853,731,"2",0,"2","2"
"2_CELL4607_N2","au2",1429,563,"2",0,"0","0"
"2_CELL4609_N2","au2",3109,989,"2",0,"9","9"
"2_CELL4612_N2","au2",1107,528,"2",0,"1","1"
"2_CELL4613_N2","au2",1149,566,"2",0,"3","3"
"2_CELL4615_N2","au2",1026,490,"2",0,"0","0"
"2_CELL4617_N2","au2",3669,954,"2",0,"4","4"
"2_CELL4618_N2","au2",3614,1138,"2",0,"3","3"
"2_CELL4621_N3","au2",1564,689,"2",0,"0","0"
"2_CELL4624_N2","au2",5665,1058,"2",0,"16","16"
"2_CELL4625_N2","au2",1990,506,"2",0,"0","0"
"2_CELL4628_N4","au2",3632,1382,"2",0,"7","7"
"2_CELL4629_N2","au2",1655,668,"2",0,"3","3"
"2_CELL4630_N3","au2",2683,862,"2",0,"3","3"
"2_CELL4642_N2","au2",1314,525,"2",0,"12","12"
"2_CELL4643_N2","au2",4230,1386,"2",0,"4","4"
"2_CELL4647_N2","au2",1185,521,"2",0,"10","10"
"2_CELL4648_N2","au2",2373,781,"2",0,"0","0"
"2_CELL4649_N2","au2",1712,609,"2",0,"1","1"
"2_CELL4650_N1","au2",1085,506,"2",0,"0","0"
"2_CELL4651_N2","au2",1516,626,"2",0,"2","2"
"2_CELL4652_N3","au2",2225,752,"2",0,"10","10"
"2_CELL4655_N2","au2",8982,1692,"2",0,"15","15"
"2_CELL4658_N2","au2",1251,563,"2",0,"0","0"
"2_CELL4659_N2","au2",1167,577,"2",0,"19","19"
"2_CELL4660_N5","au2",5187,1508,"2",0,"12","12"
"2_CELL4661_N2","au2",3006,978,"2",0,"6","6"
"2_CELL4665_N2","au2",2986,998,"2",0,"20","20"
"2_CELL4666_N3","au2",1545,631,"2",0,"0","0"
"2_CELL4669_N2","au2",1150,546,"2",0,"0","0"
"2_CELL4671_N2","au2",1426,613,"2",0,"3","3"
"2_CELL4672_N2","au2",4077,759,"2",0,"18","18"
"2_CELL4673_N3","au2",1322,561,"2",0,"10","10"
"2_CELL4674_N2","au2",4113,937,"2",0,"1","1"
"2_CELL4676_N3","au2",1677,804,"2",0,"7","7"
"2_CELL4680_N3","au2",2584,796,"2",0,"10","10"
"2_CELL4681_N4","au2",1795,634,"2",0,"0","0"
"2_CELL4682_N2","au2",2396,794,"2",0,"1","1"
"2_CELL4685_N2","au2",1931,627,"2",0,"0","0"
"2_CELL4686_N2","au2",3156,981,"2",0,"6","6"
"2_CELL4688_N3","au2",2037,806,"2",0,"15","15"
"2_CELL4691_N3","au2",2935,983,"2",0,"8","8"
"2_CELL4692_N2","au2",2411,851,"2",0,"12","12"
"2_CELL4693_N2","au2",3455,886,"2",0,"20","20"
"2_CELL4694_N3","au2",8652,1600,"2",0,"1","1"
"2_CELL4695_N2","au2",3498,1053,"2",0,"10","10"
"2_CELL4697_N2","au2",3618,1083,"2",0,"9","9"
"2_CELL4700_N3","au2",1867,646,"2",0,"3","3"
"2_CELL4702_N3","au2",3435,969,"2",0,"3","3"
"2_CELL4703_N3","au2",1274,512,"2",0,"0","0"
"2_CELL4705_N2","au2",1675,669,"2",0,"0","0"
"2_CELL4706_N3","au2",3713,1193,"2",0,"4","4"
"2_CELL4707_N1","au2",2012,783,"2",0,"5","5"
"2_CELL4708_N3","au2",3052,863,"2",0,"0","0"
"2_CELL4709_N3","au2",5303,1301,"2",0,"5","5"
"2_CELL4710_N2","au2",3779,967,"2",0,"10","10"
"2_CELL4711_N3","au2",6590,1728,"2",0,"10","10"
"2_CELL4712_N1","au2",2776,789,"2",0,"1","1"
"2_CELL4714_N2","au2",1030,498,"2",0,"10","10"
"2_CELL4716_N2","au2",1709,587,"2",0,"0","0"
"2_CELL4717_N4","au2",3489,940,"2",0,"1","1"
"2_CELL4718_N2","au2",2693,827,"2",0,"0","0"
"2_CELL4720_N3","au2",1526,845,"2",0,"7","7"
"2_CELL4721_N2","au2",6452,1400,"2",0,"2","2"
"2_CELL4723_N2","au2",1107,516,"2",0,"1","1"
"2_CELL4725_N2","au2",2136,717,"2",0,"3","3"
"2_CELL4730_N2","au2",2184,860,"2",0,"3","3"
"2_CELL4731_N2","au2",1094,523,"2",0,"4","4"
"2_CELL4732_N2","au2",4836,1276,"2",0,"5","5"
"2_CELL4735_N3","au2",2123,805,"2",0,"2","2"
"2_CELL4736_N2","au2",1216,418,"2",0,"4","4"
"2_CELL4739_N2","au2",1914,624,"2",0,"10","10"
"2_CELL4748_N3","au2",2956,854,"2",0,"8","8"
"2_CELL4755_N2","au2",2195,838,"2",0,"8","8"
"2_CELL4756_N2","au2",6173,1665,"2",0,"2","2"
"2_CELL4761_N2","au2",1316,593,"2",0,"0","0"
"2_CELL4763_N4","au2",2179,456,"2",0,"19","19"
"2_CELL4767_N2","au2",6067,1363,"2",0,"16","16"
"2_CELL4771_N2","au2",3548,948,"2",0,"9","9"
"2_CELL4774_N2","au2",3970,892,"2",0,"11","11"
"2_CELL4779_N3","au2",1892,708,"2",0,"0","0"
"2_CELL4780_N2","au2",1042,543,"2",0,"7","7"
"2_CELL4782_N2","au2",1084,445,"2",0,"3","3"
"2_CELL4785_N4","au2",1760,812,"2",0,"2","2"
"2_CELL4790_N4","au2",2214,839,"2",0,"8","8"
"2_CELL4791_N3","au2",4293,1150,"2",0,"10","10"
"2_CELL4792_N2","au2",3373,1095,"2",0,"2","2"
"2_CELL4793_N2","au2",1200,515,"2",0,"3","3"
"2_CELL4795_N2","au2",3069,913,"2",0,"21","21"
"2_CELL4796_N3","au2",3295,927,"2",0,"13","13"
"2_CELL4799_N3","au2",1880,660,"2",0,"0","0"
"2_CELL4801_N3","au2",3083,889,"2",0,"5","5"
"2_CELL4805_N1","au2",7321,1545,"2",0,"16","16"
"2_CELL4807_N2","au2",1519,430,"2",0,"11","11"
"2_CELL4808_N2","au2",5439,1188,"2",0,"13","13"
"2_CELL4811_N2","au2",1428,529,"2",0,"15","15"
"2_CELL4815_N2","au2",1061,495,"2",0,"0","0"
"2_CELL4816_N2","au2",1618,689,"2",0,"6","6"
"2_CELL4817_N3","au2",2280,850,"2",0,"6","6"
"2_CELL4820_N2","au2",2112,761,"2",0,"0","0"
"2_CELL4823_N2","au2",2712,871,"2",0,"2","2"
"2_CELL4827_N3","au2",8128,1727,"2",0,"1","1"
"2_CELL4828_N2","au2",1843,735,"2",0,"0","0"
"2_CELL4829_N3","au2",1949,575,"2",0,"10","10"
"2_CELL4834_N2","au2",3032,1219,"2",0,"7","7"
"2_CELL4836_N1","au2",2011,825,"2",0,"12","12"
"2_CELL4839_N3","au2",13925,1706,"2",0,"1","1"
"2_CELL4840_N3","au2",1713,622,"2",0,"0","0"
"2_CELL4841_N2","au2",3856,777,"2",0,"5","5"
"2_CELL4842_N2","au2",2777,925,"2",0,"3","3"
"2_CELL4843_N2","au2",1516,510,"2",0,"19","19"
"2_CELL4847_N2","au2",1378,530,"2",0,"5","5"
"2_CELL4852_N2","au2",3937,1040,"2",0,"20","20"
"2_CELL4853_N2","au2",2452,935,"2",0,"3","3"
"2_CELL4854_N3","au2",1231,501,"2",0,"0","0"
"2_CELL4857_N2","au2",3336,1020,"2",0,"22","22"
"2_CELL4860_N2","au2",1844,620,"2",0,"0","0"
"2_CELL4865_N2","au2",1042,474,"2",0,"0","0"
"2_CELL4866_N2","au2",1020,485,"2",0,"4","4"
"2_CELL4867_N4","au2",2338,714,"2",0,"0","0"
"2_CELL4874_N3","au2",1754,647,"2",0,"1","1"
"2_CELL4875_N2","au2",3465,993,"2",0,"1","1"
"2_CELL4879_N2","au2",4300,1358,"2",0,"6","6"
"2_CELL4880_N2","au2",3479,918,"2",0,"14","14"
"2_CELL4882_N2","au2",1250,552,"2",0,"0","0"
"2_CELL4883_N2","au2",2371,1114,"2",0,"7","7"
"2_CELL4884_N3","au2",2983,769,"2",0,"1","1"
"2_CELL4886_N1","au2",1424,519,"2",0,"4","4"
"2_CELL4887_N2","au2",1980,591,"2",0,"1","1"
"2_CELL4889_N2","au2",1850,696,"2",0,"5","5"
"2_CELL4890_N2","au2",4967,1389,"2",0,"14","14"
"2_CELL4891_N2","au2",1603,705,"2",0,"8","8"
"2_CELL4893_N3","au2",8347,1952,"2",0,"9","9"
"2_CELL4896_N3","au2",2653,867,"2",0,"7","7"
"2_CELL4899_N3","au2",1947,602,"2",0,"5","5"
"2_CELL4901_N4","au2",2474,814,"2",0,"0","0"
"2_CELL4902_N2","au2",1173,533,"2",0,"1","1"
"2_CELL4903_N4","au2",4668,1498,"2",0,"17","17"
"2_CELL4909_N3","au2",10800,1550,"2",0,"4","4"
"2_CELL4910_N3","au2",2360,797,"2",0,"2","2"
"2_CELL4912_N2","au2",2490,854,"2",0,"5","5"
"2_CELL4913_N2","au2",1094,505,"2",0,"17","17"
"2_CELL4915_N2","au2",1127,521,"2",0,"0","0"
"2_CELL4916_N2","au2",1317,647,"2",0,"2","2"
"2_CELL4918_N2","au2",2455,910,"2",0,"21","21"
"2_CELL4920_N1","au2",1292,508,"2",0,"9","9"
"2_CELL4922_N2","au2",1042,511,"2",0,"1","1"
"2_CELL4927_N4","au2",2386,691,"2",0,"10","10"
"2_CELL4928_N3","au2",1605,651,"2",0,"5","5"
"2_CELL4929_N2","au2",2062,630,"2",0,"9","9"
