,Dare_Endoderm,Dare_Epidermal,Dare_Germline,Dare_Mesoderm,Dare_Neural Anterior,Dare_Neural Crest,Dare_Neural Mid,Dare_Neural Posterior,Neve_NPC,Neve_cnidocyte,Neve_cnidocyte.mature,Neve_ectoderm.embryonic,Neve_ectoderm.epidermis,Neve_ectoderm.pharyngeal,Neve_gastrodermis,Neve_gland.mucous,Neve_mesendoderm.embryonic,Neve_neuronal,Neve_retractor muscle,Neve_secretory,"Auco_CN, Cnidocytes/Nematocyte cell","Auco_EM, Epidermal/Muscle cell","Auco_GA, Gastrodermal cell","Auco_GL, Gland cell","Auco_HA, Hair cell","Auco_NE, Neural cell","Auco_SG, Stem/Germline cell",Clhe_Bioluminescent Cells,Clhe_Epidermal/Muscle,Clhe_Gastroderm,Clhe_Gland Cell,Clhe_Nematocyte,Clhe_Neural,Clhe_Stem Cell/Germ Cell,TrH1_epithelia,TrH1_epithelia_gland_like,TrH1_fibre,TrH1_gland,TrH1_lipophil,TrH1_meiotic,TrH1_peptidergic,TrH1_trans,TrH2_epithelia,TrH2_epithelia_gland_like,TrH2_fibre,TrH2_gland,TrH2_lipophil,TrH2_meiotic,TrH2_peptidergic,TrH2_trans,TrH2_unknown_1,HoH13_epithelia,HoH13_epithelia_gland_like,HoH13_fibre,HoH13_gland,HoH13_lipophil,HoH13_peptidergic,HoH13_trans,HoH13_unknown_1,ClH23_epithelia,ClH23_epithelia_gland_like,ClH23_fibre,ClH23_gland,ClH23_lipophil,ClH23_peptidergic,ClH23_trans,ClH23_unknown_1,Spla_Amoeboid-Neuroid,Spla_Archeocytes and relatives,Spla_Endymocytes,Spla_Peptidocytes,Spla_transitional
Neve_cnidocyte.mature,0.0,0.005150091640189873,0.0,0.007472514154458898,0.024901165205141424,7.911678180194037e-05,0.019796166734756347,0.11778319291430854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05336420806458499,0.02294952016994508,0.010406405468813327,0.002719387285685089,0.3484069694482645,0.009865233071872948,0.0028148011372938356,0.00036182581028196785,0.014036033120289773,0.010505280831344782,0.0010166356743118807,0.2611170687302589,0.045339424749234136,0.008760284755184766,0.09045310962915759,0.00026283614863033093,0.0,0.0015022414427302597,0.0024170729853694407,0.003157847287550588,0.025905398971249233,0.009616640852773386,0.0979259019675424,0.0018348838811847695,0.009728474616933758,0.00043577587645009664,0.002837827917112978,0.010167159232603685,0.01604054856675726,0.0017525913340685432,0.0,0.06781011528304302,0.002733718846089562,0.00015279759204302532,0.002441798058385126,0.0023821312537504126,0.027480799908084986,0.03645907991721069,0.0,0.09530292878002287,0.014080353808079843,0.0,0.00425929756471225,0.0017283646145882666,0.011056436117100067,0.0053073543052474595,0.0,0.0010484757159092378,0.004215186087592025,0.009034527539066164,0.07685135615767053,0.01909697614120716
Neve_ectoderm.embryonic,0.003130165186715498,0.053592427320102456,0.0,0.09017254884137421,0.09153025481977888,0.021246387996379335,0.055698558411242736,0.1365695926402542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020416210583093383,0.2845673295853549,0.09118748382266442,0.011270792557617223,0.024695125495895746,0.05137146102420167,0.04063463234590829,0.00382805795921373,0.15121735970521546,0.1305160649589857,0.03517188695980593,0.03750006469508419,0.03997744021710578,0.1236492168530132,0.19955743959151606,0.020131980154090297,0.026013905014878803,0.044124184048429285,0.11419211532704998,0.00024521209336188064,0.023627336800754566,0.05526955370905755,0.1705190198685377,0.010831590068633545,0.13247609893059747,0.01898875321561059,0.11504039517235387,0.004377458602912095,0.006525657487276289,0.030456597640646944,0.007680855710756049,0.1566439638470838,0.060487786015896196,0.021547868525031707,0.06291115611417909,0.11525336512905027,0.010961045685510309,0.048389822242388025,0.0028618955496015883,0.11262277492850155,0.15608739165776078,0.015299341504432133,0.07476906374761984,0.0921791858931911,0.00930250620039384,0.055534913439180475,0.005304003308636735,0.0014214214077329615,0.024057655585690448,0.02043692312538895,0.12610653665762242,0.2522767058266406
Neve_ectoderm.epidermis,0.08062145338442235,0.07116269011063867,0.031419622376390746,0.044891122603006386,0.1179661378864744,0.14455521578422253,0.07289104948507608,0.1549333214125625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013472624292326393,0.30370836390340383,0.057733496049848454,0.018226993913217554,0.11267612670374308,0.034247822857940924,0.03849685659081835,0.02013953660329023,0.27603263333885847,0.07334080749433727,0.051759462699119366,0.023638513022553338,0.04782621023303896,0.12180871051152849,0.18035611520012967,0.03775269716051195,0.020059437469999407,0.024453597350876266,0.46827553340011485,0.0012308205505179412,0.01517316786064023,0.10808603331086881,0.16261730964680127,0.009882641022225486,0.11224138969262878,0.005073922005725101,0.43745461405073727,0.0017389305966512276,0.02551068371895173,0.04977265166942045,0.07323770462755361,0.12878933508162305,0.08848921667260835,0.004665140632022067,0.04442123233189084,0.438608664875634,0.004683400723026167,0.09979218888068207,0.08204762150878137,0.1263756960909489,0.1129840731661859,0.004557207528744852,0.05239368494040826,0.4107467624077433,0.003942326399366918,0.18811421940284753,0.07784940610840543,0.025255650416345428,0.03770780024936243,0.010446861962351154,0.14325275511206276,0.3485477513804863
Neve_ectoderm.pharyngeal,0.06691666643727984,0.03653677212464684,0.013006660334628098,0.1499267757794202,0.15839345784819497,0.05635696900042162,0.11640384324917845,0.3008892661222933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01176370138765217,0.29473454116989883,0.1481586663807507,0.04724823199775114,0.14726227775606346,0.028948973869267897,0.0850964078592789,0.04287952150033784,0.14543986051464278,0.08258541971268096,0.024909143505797673,0.01892250931947487,0.14815370377889334,0.2225908981856925,0.5108280638399038,0.2609952811991293,0.023572994259260037,0.04358683530388329,0.03676812442772715,0.00857832630881058,0.027109967601867836,0.1786891984559492,0.413639162348156,0.0656482645058233,0.1361483351129165,0.011403268239224058,0.050629153068591934,0.009500033461042457,0.11348387083523907,0.2510953377404654,0.17370698215884123,0.3868271685318728,0.31233666410686495,0.011593527929228433,0.0676556178381222,0.026405385099957372,0.0114114297404659,0.19163661891029443,0.08121867671172331,0.417776086632922,0.23121985797833178,0.014143056773315427,0.07542820838862199,0.04562737981972467,0.014175615211257106,0.07959749687029063,0.16592988615254686,0.06987043825539123,0.0921409054923842,0.02043015582412782,0.3544000216573129,0.32827190852282556
Neve_gastrodermis,0.2069366881561882,0.3631897631670403,0.14931480933572686,0.3764502032135564,0.020445193386126437,0.15560252430335017,0.0073947242129597645,0.026994073955596876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005129903320700072,0.4613896235244427,0.26668985832942455,0.021914605350120075,0.011625599461903332,0.027823032539509775,0.04983048779226015,0.02862032861933707,0.02919251341517835,0.6162244393576753,0.026843813252713445,0.015643733146762623,0.010412421642281778,0.043128397931196175,0.0831530986973748,0.02222596051885687,0.41905338864299885,0.11509999138798402,0.004194183434748767,0.0003825778734477453,0.005308726965960548,0.073383134118331,0.047763847678045375,0.003915706731888655,0.2976651856153206,0.3221953163739594,0.004061577565086913,0.0018793669249473157,0.004293915610005182,0.1923023414451052,0.004284715034798237,0.03240229653439977,0.02481813504753757,0.5751962134163289,0.025338382652694936,0.0021983201708100763,0.0015291981612033617,0.08063680111987108,0.0002167292744163014,0.04637794870768046,0.05805981416845327,0.5661708507470895,0.050600994232062727,0.00198575084996755,0.00137124129305868,0.12670374139122875,0.004122436695716636,0.032993804254122364,0.03036557470857536,0.08791666744116138,0.15991555487968245,0.4322952812302782
Neve_gland.mucous,0.0016677765035369237,0.040641273451113714,0.0029693828705264595,0.1423754091723447,0.07090701234098508,0.002238837113901625,0.02698839848069618,0.10339428709794948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017069349524020446,0.03424054304095162,0.0017159457902692211,0.08435294113965401,0.011600865369550368,0.6200293183662113,0.012768025225032262,0.00461501096019188,0.006076380027941758,0.022296303992103965,0.008314570551785291,0.015793805990260618,0.5789833214407918,0.06850571400716873,0.09882957232432532,0.010885276274561715,0.03736617586692886,0.0123104358915475,0.008400926149380197,0.0,0.12858949748593554,0.021560997599866218,0.07293415576652933,0.0001820714946101451,0.08632866665679442,0.0016729884035090487,0.010491479506428742,0.0006242733938610543,0.21053400690123386,0.0051480167499922515,9.534855672621837e-05,0.06922681130583636,0.03230231321660272,0.0010339152421124076,0.02460840009610422,0.007994502808504653,0.3201532464830814,0.031210226337879267,0.000257647363867678,0.07807371061208399,0.03665156534901116,0.0007710414983473087,0.008112587167294013,0.007939715910910928,0.11578989300475032,0.029474638343951885,4.8372533378632735e-05,0.00027101392787242073,0.020714924484829603,0.003794290519333856,0.008650793024047223,0.2682501637342167
Neve_mesendoderm.embryonic,0.0003044297628511518,0.0044505282209178765,0.0,0.04449868849400631,0.013628399997021742,0.00031477723684651833,0.004827748621922232,0.017178181884789662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10784247244979187,0.3365075635720252,0.000272761707550439,0.0,0.00044890721835307327,0.0008768313107493195,0.0,0.035049777239613986,0.07775066284848392,0.006245899080586403,0.0,0.004056753072675836,0.0026511989362175675,0.03123953409251899,0.0006666591486821967,0.003055791624502596,0.0031472351383344346,0.00023851019831334832,0.0,0.002256736687411456,0.004609065107296602,0.011225440093373402,0.0007270150494451289,0.062132263065896975,0.005240492981143263,0.00019821915197561655,0.0009702373308061229,0.000160107998235653,0.0029126317353208113,0.0,0.019237612570337397,0.000254536562126243,0.004018995968976183,0.005607916026185053,0.0,0.007670125056444639,0.001674173583209564,0.0,0.01604273471038522,0.027714196596657265,0.0035787242260605923,0.008094442132717518,0.0,0.0004135829647272164,0.0008686106718036098,0.0,0.0003233235808934642,0.006388951418442622,0.07263954451395747,0.22754431786478513,0.03703205796776017
Neve_neuronal,0.031034903361129674,0.0181110345359679,0.0,0.010171958161475073,0.12950981892245125,0.003922883659688717,0.03376891165419267,0.5536514660419708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00422649117282493,0.05098919371819096,0.012509194578318525,0.01646886216996802,0.1712107296701045,0.5812111957773607,0.07574638671405495,0.007778668942873807,0.02009860377654126,0.01394797317211218,0.015210699591689535,0.32989220321346224,0.23806680025824395,0.0701928943225607,0.16276508937822418,0.007366526512774807,0.010576791508006795,0.01134341400957102,0.0035762329958295555,0.26449942683080113,0.44299454996622173,0.0506851438515263,0.19277573920431945,0.003315068492623797,0.12546301268826043,0.0020292041170528554,0.0022927850964551337,0.3895318255453635,0.3034110556374193,0.010070803550940867,0.05835927016423712,0.20909276069824725,0.03206875055621839,0.001978925952270153,0.024608851674573284,0.0030762170102291253,0.3694681029412082,0.08622262347083656,0.011967213592724676,0.21259009080431118,0.03601171969843732,0.0014571710775768115,0.01877378639059637,0.001148254962395906,0.3821195048485171,0.030971771365592298,0.002978533070960553,0.19644727656023137,0.05505091714981856,0.33159577810185625,0.11813018546835663,0.21351686303395087
Neve_retractor muscle,0.003338098138877075,0.007408084532556087,0.0,0.6085372482470557,0.014417556160809687,0.003037428714759759,0.008591770565000486,0.012218417432837294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046660513930602,0.7862766229668807,0.0011413172715317398,0.008266364828812895,0.003274490361094443,0.02070546538749949,0.00986657972538944,0.0002720471728747154,0.821141984457465,0.0057740660494847475,0.0016858641971481281,0.0037602511616393872,0.002215130708221509,0.006850154674119406,0.10827398586809975,0.0039329245205967575,0.018360982122389145,0.004435895592829671,0.03226699829318707,0.0,0.007322415928341078,0.021182498977004065,0.13953797154849204,0.00035347655158389084,0.055007063706299666,0.02334566382357508,0.022173817809802224,0.0019951695151658724,0.01679080741893168,0.019390026347119053,4.7530415246288635e-05,0.09757528681181972,0.042768636456379835,0.02136312086237484,0.009488967074428688,0.012009766927714802,0.0014773055821708614,0.03144869294738536,0.0021578581840302462,0.2322570757432189,0.013957899869381993,0.009987679651846925,0.0048427789299662904,0.0024513385239517856,0.0008457005358253541,0.018125362876833688,0.0002627397835864718,0.00621022866416703,0.009083865137953954,0.052623506016702494,0.006892546452358988,0.5181399745659282
Neve_secretory,0.023457259408767868,0.05172573610251091,0.004273999731597934,0.11138713881094364,0.09171030471326455,0.017149313691093893,0.06133056345524148,0.19713779455389008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01245452083467664,0.06684737577304634,0.1086133748777933,0.4737077610955594,0.008191120019744074,0.09982217406123356,0.1404280329674985,0.005573133392166035,0.03330869708080718,0.023999712533130567,0.6411356935799922,0.0382119814504447,0.14013221758923708,0.05780375737192589,0.08007730204075428,0.10633204594946818,0.0056232945869164105,0.5877091320012314,0.004462973330801529,0.11119473990347876,0.23969482313248233,0.12036280017850878,0.07940642099739212,0.5860539305401211,0.05602073638120473,0.37724647459680977,0.005595603579618915,0.10444483065728671,0.20586079519770636,0.0861991351754107,0.020748988317602874,0.07962753391798202,0.019184053460083738,0.0016835333143729533,0.5821439341265592,0.004498080653465928,0.25322229407018787,0.09942630756032492,0.012430214999695396,0.08177067550479566,0.05075539738469733,0.0008250573657445513,0.48396251954257136,0.0032516661739914986,0.2498172906778091,0.10338153414010458,0.009890327566010092,0.014364290137603564,0.04578400776742776,0.0431453762106131,0.02843169558744902,0.20631353085665358
